事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所所在地,法人名称,利用定員,指定日
2725800342,ケアホーム平野東,06-6770-5073,06-7632-3074,大阪市平野区（以下略）,合同会社ｂｅｌｉｆｅ,4,2019/04/01
2720400163,グリーンハート南市岡,06-6710-9745,06-6710-9746,大阪市港区（以下略）,特定非営利活動法人南市岡地域活動協議会,12,2019/03/01
2722200264,ライフフィールドＮｉｎｅ,06-4309-7025,06-6949-8637,大阪市生野区（以下略）,特定非営利活動法人Ｎｉｎｅ,4,2019/03/01
2722000169,アナザースカイ　アトリエハウス２（ＳＵＮ）,090-1485-1763,,大阪市住吉区（以下略）,株式会社ふれあい薬局,17,2019/03/01
2720800172,ファミリエ�U,06-7171-6798,06-7182-7466,大阪市東住吉区（以下略）,協和医療　有限会社,4,2019/03/01
2720400155,エスポワール天保山,06-6537-9672,06-6537-9673,大阪市港区（以下略）,株式会社エスポワール,17,2019/02/01
2723100117,ＯＫＡＥＲＩ今市,06-6954-2555,06-6954-2556,大阪市旭区（以下略）,特定非営利活動法人ぴあらいふ,27,2019/02/01
2720800164,ふれあいのいえ・どん,06-6777-9692,06-6777-9692,大阪市東住吉区（以下略）,株式会社Ｔｓカンパニー,6,2019/02/01
2725800334,ケアホームミモザ,06-6777-7703,06-6777-7703,大阪市平野区（以下略）,株式会社キムコム,4,2019/02/01
2729200168,にぃる,090-6071-5167,,大阪市鶴見区（以下略）,合同会社よあけ,6,2019/01/01
2721000087,グループホームあずき,06-6459-9913,06-6459-9923,大阪市西淀川区（以下略）,株式会社アズキ,4,2018/12/01
2722200256,はるのいえ大阪Ｂ,06-4981-4919,,大阪市生野区（以下略）,株式会社ＨＡＬ,17,2018/12/01
2720800156,ゆめーず,06-6773-9441,06-6773-9441,大阪市東住吉区（以下略）,ＮＰＯ法人笑夢咲,6,2018/12/01
2723100109,グループホームわたぼうし,06-6167-9418,06-6167-9419,大阪市旭区（以下略）,株式会社Ｈｅａｒｔ　ｆｕｌｌ　Ｈａｎｄ,4,2018/11/01
2723000150,女性ホーム大阪,06-6320-1463,06-6320-1463,大阪市東淀川区（以下略）,一般社団法人ミモザ,10,2018/10/01
2725800326,グループホームひまわり園,06-4302-5454,06-4302-5454,大阪市平野区（以下略）,ＮＰＯ法人ひまわり園,8,2018/10/01
2725800318,れんこん,06-6700-0565,06-6700-4700,大阪市平野区（以下略）,特定非営利活動法人　あおぞら学園,5,2018/10/01
2721000079,ユグドラシル,06-7713-3969,06-7713-3969,大阪市西淀川区（以下略）,合同会社ＨＥＲＯ,6,2018/09/01
2723100091,グループホーム茶・茶,06-7505-8400,06-7505-8400,大阪市旭区（以下略）,合同会社Ｉｄｅａ　ｖｏｙａｇｅ,9,2018/09/01
2729200143,アンバー鶴見,06-4397-7637,06-4397-7638,大阪市鶴見区（以下略）,一般社団法人晄月,4,2018/09/01
2729200150,グループホーム　あんり,06-6914-2580,06-6914-2581,大阪市鶴見区（以下略）,合同会社Ｗｏｏｄ　Ｌｉｋｅ,18,2018/09/01
2721500128,のんき,06-6924-9975,06-6924-9976,大阪市東成区（以下略）,社会福祉法人　そよ風,13,2018/08/01
2725900076,こねくとの家,06-4702-7223,06-4702-7223,大阪市住之江区（以下略）,株式会社Ｃｏｎｎｅｃｔ,4,2018/08/01
2722000151,グループホームなごみえん住吉大社,06-6654-3535,06-6654-3535,大阪市住吉区（以下略）,合同会社プロスパー,5,2018/08/01
2725800300,はるのいえ大阪Ａ,06-6736-5150,06-6736-5150,大阪市平野区（以下略）,株式会社ＨＡＬ,25,2018/08/01
2721500110,グループホーム　にっこにこ今里,06-6210-2412,06-6210-2413,大阪市東成区（以下略）,プラスビーアンドパートナーズ株式会社,8,2018/07/01
2720800149,ファミリエ,06-6696-8223,06-6696-8224,大阪市東住吉区（以下略）,協和医療　有限会社,4,2018/07/01
2721500102,はぴねす今里,06-6975-9222,06-6975-9211,大阪市東成区（以下略）,株式会社ＭＹＲ,24,2018/06/01
2723300139,Ｔ−ＤＥＳＩＧＮ,06-6616-7018,06-6616-7019,大阪市西成区（以下略）,Ｔ−ＤＥＳＩＧＮ株式会社,6,2018/06/01
2725200048,虹の集い,06-7163-6664,06-4981-6582,大阪市都島区（以下略）,株式会社エム・ティーケア,17,2018/05/01
2724400094,グループホーム白樺,06-7165-6010,06-7165-6010,大阪市城東区（以下略）,ＮＰＯ法人しおり,4,2018/05/01
2725900068,プレジール,080-9608-8018,,大阪市住之江区（以下略）,一般社団法人プレジール,7,2018/05/01
2720800131,グループホームあったか,06-6777-9081,06-6777-9082,大阪市東住吉区（以下略）,特定非営利活動法人明,4,2018/05/01
2722800063,晴れたらいいなぁ,06-6460-1367,06-6460-1367,大阪市此花区（以下略）,合同会社匡,17,2018/04/01
2722200231,あったかホームいくの,06-7506-8849,06-7506-8849,大阪市生野区（以下略）,合同会社あったかホーム,8,2018/04/01
2722200249,グレープ,06-6712-3210,06-6712-3210,大阪市生野区（以下略）,一般社団法人　イエローリボン,18,2018/04/01
2725800292,やすらぎ,06-4303-7771,06-4303-7771,大阪市平野区（以下略）,ｍｏｏｌａ合同会社,24,2018/04/01
2721500094,グループホーム大今里,06-7509-4077,06-7509-4077,大阪市東成区（以下略）,一般社団法人フェリスモンテ,5,2018/03/01
2722700073,恵の光鶴浜,06-6556-4411,06-6556-4411,大阪市大正区（以下略）,株式会社プルース,8,2018/02/01
2723000143,グループホームたいよう,06-6226-8875,06-6120-9125,大阪市東淀川区（以下略）,特定非営利活動法人明日のステージを創る会,8,2018/02/01
2723300121,さざんか,06-7709-2275,06-7709-2275,大阪市西成区（以下略）,株式会社スプラウト,4,2018/01/01
2725900050,グループホームみらい,06-6657-4559,06-6657-4559,大阪市住之江区（以下略）,株式会社アヴニール,8,2017/12/01
2723300113,グループホームジヨン,06-4398-3838,06-4398-3838,大阪市西成区（以下略）,株式会社ジヨン,5,2017/12/01
2729200127,ケアホームエイト,06-7162-2886,06-7162-2886,大阪市鶴見区（以下略）,株式会社エイト,8,2017/11/01
2722000144,アナザースカイ　アトリエハウス,06-6770-5396,06-6770-5397,大阪市住吉区（以下略）,株式会社ふれあい薬局,20,2017/07/01
2725900043,ふれあいホームさくらっ子,06-6613-1055,06-6613-1056,大阪市住之江区（以下略）,株式会社　さくらっ子,6,2017/06/01
2722000136,ＴＡＫグループホーム長居公園,06-6776-8530,06-6776-8530,大阪市住吉区（以下略）,合同会社ＴＡＫ,18,2017/06/01
2723000135,すぴか,06-6370-0168,,大阪市東淀川区（以下略）,社会福祉法人　ひがしよどがわ福祉会,4,2017/05/01
2725800276,グループホーム　花の彩,06-6792-9412,00-0000-0000,大阪市平野区（以下略）,株式会社彩,10,2017/05/01
2722800055,グループホーム　コアの森,06-6147-4884,06-6147-4884,大阪市此花区（以下略）,ＮＰＯ法人ＭＵＡ未来,23,2017/04/01
2724300047,ケアホーム　いこい,06-6644-1188,06-6644-1187,大阪市浪速区（以下略）,合同会社ＷｅｌＣｒｏｗｎ,15,2017/04/01
2721500078,グループホームアイディアル,06-6730-9930,06-6730-9931,大阪市東成区（以下略）,株式会社アイディアルサポート,6,2017/04/01
2729200119,グループホーム　みらい,06-6926-9979,,大阪市鶴見区（以下略）,株式会社未来サポート,5,2017/04/01
2729200101,グループホーム　そら,06-6930-1123,06-6930-0808,大阪市鶴見区（以下略）,一般社団法人よもぎ,6,2017/04/01
2725900035,ぴあほーむ,06-6115-6550,06-6690-7759,大阪市住之江区（以下略）,株式会社　夢空間,6,2017/04/01
2725800268,グループホーム　ゆう平野東,070-5045-9876,06-6769-8881,大阪市平野区（以下略）,株式会社ＪＡＰＡＮ　ＬＩＦＥ,16,2017/04/01
2721700033,すまいるレジデンス　ｆｏｒ　ｔｈｅ　ＤｅａｆＢｌｉｎｄ　ミッキーＨＯＵＳＥ,06-6776-2000,06-6776-2012,大阪市天王寺区（以下略）,ＮＰＯ法人ヘレンケラー自立支援センターすまいる,10,2017/03/01
2722300130,ほのぼのあべのはうす,06-6657-5294,06-6657-5294,大阪市阿倍野区（以下略）,合同会社ほのぼの家族,10,2017/03/01
2720800123,きらら,06-4305-7737,06-4305-7757,大阪市東住吉区（以下略）,株式会社Ｋｉｒａｒａ,8,2017/03/01
2729200093,グループホーム快宅（かいたく）,06-7174-0445,06-7174-0445,大阪市鶴見区（以下略）,合同会社縁家,9,2017/01/01
2724400086,グループホーム　ぜ・す・と,06-6932-7580,06-6932-7580,大阪市城東区（以下略）,特定非営利活動法人　燦然会,6,2016/12/01
2725800250,みなくるホーム,06-6797-2700,06-6777-4552,大阪市平野区（以下略）,有限会社　ピュアクオリティ,4,2016/12/01
2723100083,うつろいの里,06-6954-2555,06-6954-2556,大阪市旭区（以下略）,特定非営利活動法人ぴあらいふ,29,2016/11/01
2721700025,きずなライフケアホーム,06-6773-5177,06-6773-5185,大阪市天王寺区（以下略）,ＮＰＯ法人介護予防の星きずな,10,2016/09/01
2725800243,だんだん,06-6701-6557,06-6701-6557,大阪市平野区（以下略）,特定非営利活動法人　トライアングル,6,2016/09/01
2722200223,グループホーム　オリーブ舎利寺,06-6626-0555,06-6626-0556,大阪市生野区（以下略）,株式会社　ピースフル,5,2016/08/01
2729200085,グループホーム住立（すだち）,06-6913-2533,06-6913-2533,大阪市鶴見区（以下略）,特定非営利活動法人感生,13,2016/08/01
2723000127,イマジン,06-4862-7012,06-4862-7012,大阪市東淀川区（以下略）,一般社団法人ミモザ,5,2016/07/01
2722200181,アムールの里,06-6998-6657,,大阪市生野区（以下略）,アムール合同会社,4,2016/07/01
2722200199,ひらめき,06-6777-1161,06-6777-1162,大阪市生野区（以下略）,合同会社ＨｉＲａＭｅＫｉ,4,2016/07/01
2722200207,ひだまり,06-4305-3591,06-4305-3591,大阪市生野区（以下略）,株式会社ＴＭ’Ｓ,22,2016/07/01
2723300105,ＧＨ　Ｂｌｏｏｍ,06-6561-0139,06-6561-0139,大阪市西成区（以下略）,一般社団法人大阪パーソンパワーの会,5,2016/07/01
2725900027,ときホーム,06-4703-2525,06-4703-1414,大阪市住之江区（以下略）,一般社団法人発達支援センターここ,20,2016/05/01
2721000061,グループホーム　げんきな郷,06-6475-0138,06-6475-0138,大阪市西淀川区（以下略）,有限会社げんきなむら,8,2016/04/01
2722200173,グループホーム　いけいけ・こいこい,06-6731-5151,06-6731-5151,大阪市生野区（以下略）,特定非営利活動法人　障害者市民地域生活支援機構,4,2016/04/01
2729200077,トライアングル,06-6780-4162,06-6780-4162,大阪市鶴見区（以下略）,有限会社　すみれ,13,2016/02/01
2729200069,グループホームみどり,06-6912-6261,06-6912-8037,大阪市鶴見区（以下略）,一般社団法人なごみ,9,2016/01/01
2722000128,グループホーム　みんなの家（おうち）,06-6694-1750,06-6694-1712,大阪市住吉区（以下略）,一般社団法人おもいやり,10,2016/01/01
2721000053,ケアホーム・フォレスト,06-6195-5444,06-6195-5444,大阪市西淀川区（以下略）,一般社団法人Ｃｌｏｖｅｒ,16,2015/12/01
2725800235,そらの家,06-4305-4832,06-4305-4945,大阪市平野区（以下略）,一般社団法人爽楽,13,2015/12/01
2729200051,グループホーム　ハナミズキ,06-6912-7345,06-6912-7345,大阪市鶴見区（以下略）,特定非営利活動法人こうろ,5,2015/11/01
2729100053,にいたかの里,06-6392-2710,06-6392-2713,大阪市淀川区（以下略）,社会福祉法人　平成福祉会,10,2015/10/01
2720800107,ケアホームひまわり桑津,06-7165-6777,06-7182-5386,大阪市東住吉区（以下略）,一般社団法人ひまわり,10,2015/07/01
2720800115,ほっと駒川,06-6608-0078,06-6615-9968,大阪市東住吉区（以下略）,特定非営利活動法人長居公園元気ネット,4,2015/07/01
2722200157,グループホームミル,06-6757-7705,06-6757-7705,大阪市生野区（以下略）,株式会社　神戸屋,26,2015/04/01
2722200165,グループホームラ・ビスタ舎利寺,06-7174-2323,,大阪市生野区（以下略）,一般社団法人ラ・ビスタ,4,2015/04/01
2722000110,ケアホームおりおの,06-6697-7732,06-6697-7955,大阪市住吉区（以下略）,相生株式会社,40,2015/04/01
2723300097,つるみばしホーム,06-6561-1205,06-6561-1205,大阪市西成区（以下略）,社会福祉法人なでしこ会,7,2015/04/01
2722800048,ＮＰＯ法人　関西七福神グループホームどんぐり,06-6466-0729,,大阪市此花区（以下略）,ＮＰＯ法人関西七福神グループ,10,2015/03/01
2723000119,ケアホーム桜の樹,06-6195-8121,06-6195-8121,大阪市東淀川区（以下略）,合同会社あおぞら,8,2015/03/01
2723100075,よつば,06-6929-2380,06-6929-2390,大阪市旭区（以下略）,社会福祉法人　リベルタ,7,2015/03/01
2725800227,グループホームくらす,06-4305-4470,06-4305-4470,大阪市平野区（以下略）,有限会社ＳＫ,9,2015/03/01
2722200140,集居,06-7494-7344,06-7494-7344,大阪市生野区（以下略）,イエローリボン株式会社,37,2015/02/01
2720800099,グループホームひかり,06-6711-0420,06-6711-0420,大阪市東住吉区（以下略）,有限会社ミツヤマ,7,2015/02/01
2725200030,ケアホーム、ひまわり,06-4981-9694,06-4981-9694,大阪市都島区（以下略）,一般社団法人ひまわり,35,2015/01/01
2722800030,おりーぶ庵西九条,06-6940-6797,06-6940-6798,大阪市此花区（以下略）,おりーぶ庵株式会社,15,2015/01/01
2721000046,ポルテみてじま,06-6379-3681,06-6379-3682,大阪市西淀川区（以下略）,インビレッジ株式会社,11,2014/12/01
2723000101,グループホームわかば,06-6318-1505,06-6318-1516,大阪市東淀川区（以下略）,社会福祉法人コミュニティキャンパス,32,2014/07/01
2724300039,ミンナ・ハウス,06-6684-9027,06-6684-9027,大阪市浪速区（以下略）,一般社団法人大地のめぐみ,15,2014/05/01
2722200124,メゾン桃谷,06-6731-3266,06-6731-3266,大阪市生野区（以下略）,ＮＰＯ法人日和,4,2014/04/01
2724400078,あかね,06-6968-0515,06-6968-0515,大阪市城東区（以下略）,社会福祉法人　なかま福祉会,10,2014/04/01
2720800081,なでしこ,06-6792-9539,06-6792-9539,大阪市東住吉区（以下略）,社会福祉法人　今川学園,5,2014/04/01
2724100041,近畿福祉会　カーサ堂島,06-6136-5703,06-6136-5704,大阪市北区（以下略）,一般社団法人近畿福祉会,10,2014/03/01
2720400148,ケアホーム・スマイル,06-6686-2223,06-6686-2225,大阪市住之江区（以下略）,有限会社　ジャパンケアニジュウイチ,24,2014/03/01
2725800219,ケアホームあんじゅ,06-6705-6996,06-7173-1014,大阪市平野区（以下略）,ＮＰＯ法人あんじゅ,13,2013/12/01
2722200116,グループホーム　はなうた,06-6741-4011,06-6741-4021,大阪市生野区（以下略）,特定非営利活動法人　Ｑ．Ｂ,4,2013/08/01
2721000038,わいわい,06-6471-7729,06-6471-7729,大阪市西淀川区（以下略）,特定非営利活動法人　いきいき,13,2013/04/01
2723100067,ケアホーム　トトロ,06-6953-9135,06-6953-9135,大阪市旭区（以下略）,特定非営利活動法人　光の友,4,2013/04/01
2720800073,ホープ田辺,06-6621-7439,06-6621-7439,大阪市東住吉区（以下略）,特定非営利活動法人スマイルホープ,7,2013/04/01
2723000093,Ｂａｍｂｉｎｏ東淀川,06-6323-6651,06-6323-6652,大阪市東淀川区（以下略）,ヴェローナケア株式会社,17,2013/03/01
2724400060,グループホーム自由社,06-7177-1628,06-7163-0669,大阪市城東区（以下略）,株式会社　自由社,5,2013/03/01
2720400130,みんなのいえ,06-6572-7572,06-7502-1720,大阪市港区（以下略）,ＮＰＯ法人ラッキーセサミ,11,2012/11/01
2722700040,ことのは,06-6465-9133,06-6465-3301,大阪市大正区（以下略）,社会福祉法人　ゆうのゆう,7,2012/11/01
2722300114,あべのアロハホーム,06-6624-6685,06-6624-9701,大阪市阿倍野区（以下略）,特定非営利活動法人　至誠,26,2012/11/01
2720400122,あいらぶホーム,06-4395-7588,,大阪市港区（以下略）,社会福祉法人大阪聴覚障害者福祉会,6,2012/10/01
2722700032,コウエイ,06-6555-5448,06-6555-5448,大阪市大正区（以下略）,株式会社　光惠,13,2012/09/01
2723300089,グループホーム・あいえる,06-6656-1785,06-6656-1786,大阪市西成区（以下略）,社会福祉法人　あいえる協会,10,2012/05/01
2723300071,ほうゆう,06-6659-3240,06-6659-2673,大阪市西成区（以下略）,社会福祉法人　精神障害者社会復帰促進協会,14,2012/04/01
2722300106,ライフステージあべの,06-6115-6687,06-6115-6684,大阪市阿倍野区（以下略）,特定非営利活動法人　ワークステージ,11,2012/03/01
2722800014,ケアホームちどり,06-6462-5062,06-6462-5062,大阪市此花区（以下略）,特定非営利活動法人はばたく,7,2012/01/01
2721500052,ケアホームビクトワール,06-6976-0598,06-6976-0598,大阪市東成区（以下略）,株式会社　ビクトワール,7,2011/11/01
2725800185,ケアホームみんなの木,06-6793-4355,06-6793-4363,大阪市平野区（以下略）,特定非営利活動法人　Ｊ−ｐａｌ,12,2011/10/01
2720800065,ほのぼのホーム,06-6705-0505,06-6705-2030,大阪市東住吉区（以下略）,社会福祉法人　福祉ネット大和川,6,2011/09/01
2720400114,ケアホーム悠,06-6586-9693,06-6586-9693,大阪市港区（以下略）,特定非営利活動法人　悠々会,7,2011/08/01
2723000077,グループホームリズム,06-6330-8840,06-6330-8841,大阪市東淀川区（以下略）,特定非営利活動法人　ダ・カー歩,13,2011/08/01
2725800177,スマイリング喜連,06-6702-3109,06-6703-8832,大阪市平野区（以下略）,特定非営利活動法人　ティンクル,10,2011/07/01
2722200090,いわき生野学園ネバーランドホーム,06-4309-5280,06-4309-5280,大阪市生野区（以下略）,社会福祉法人　いわき学園,10,2011/05/01
2722000102,大領地域の家であいケアホームであい,06-4700-2010,06-4700-2011,大阪市住吉区（以下略）,社会福祉法人　ライフサポート協会,7,2011/05/01
2722200074,ちっぷりの家,06-6757-6312,06-6757-6312,大阪市生野区（以下略）,社会福祉法人　ストローム福祉会,4,2011/03/01
2724400052,灯里,06-6964-4383,06-6964-4383,大阪市城東区（以下略）,イエローリボン株式会社,27,2011/01/01
2721500045,コックピット,06-6944-1570,06-6944-1580,大阪市東成区（以下略）,特定非営利活動法人　ひこうせん,5,2010/11/01
2722000094,ぽむ,06-7850-1429,06-7850-1429,大阪市住吉区（以下略）,社会福祉法人　よさみ野福祉会,13,2010/11/01
2723000069,ケアホームノア,06-6327-0277,06-6327-5150,大阪市東淀川区（以下略）,特定非営利活動法人　アビリティおおさか,8,2010/04/01
2720800057,リオ,06-4703-3740,06-6628-0271,大阪市東住吉区（以下略）,特定非営利活動法人ちゅうぶ,7,2010/04/01
2725800169,コムニタスの家,06-6703-0584,06-6703-0364,大阪市平野区（以下略）,特定非営利活動法人　コムニタス,7,2010/04/01
2725800151,自立ホームひまわり,06-6705-3045,06-6705-3045,大阪市平野区（以下略）,株式会社サンフェイス,5,2010/04/01
2722000078,グループホームほんわか,06-6607-1101,06-6607-1102,大阪市住吉区（以下略）,社会福祉法人　あいえる協会,10,2010/03/01
2725200022,ケアホームベスト,06-6354-1210,06-6354-1210,大阪市都島区（以下略）,医療法人　正正会,15,2009/12/01
2722200066,めぐり,06-6741-3537,06-6741-3537,大阪市生野区（以下略）,ＮＰＯ法人　生野共働の家,8,2009/10/01
2725800144,ビハーラ２１ケアホームあかんのん,06-6657-5700,06-6790-3400,大阪市平野区（以下略）,特定非営利活動法人　ビハーラ２１,39,2009/10/01
2729400032,”ばなな”ホーム,06-6944-7209,06-6944-7209,大阪市中央区（以下略）,社会福祉法人こはる福祉会,6,2008/04/01
2725800136,グループホーム夢,06-6790-0612,06-7501-8620,大阪市平野区（以下略）,特定非営利活動法人　わかたけ会,25,2008/04/01
2723000051,うぃるハウス,06-6321-3955,06-6325-6320,大阪市東淀川区（以下略）,社会福祉法人　路交館,36,2008/01/01
2722300098,Ｃａｓａミオ,06-6621-5309,06-6621-5309,大阪市阿倍野区（以下略）,株式会社　フェニックス,18,2008/01/01
2722300015,ベイトコーナス,06-6655-4051,06-6655-4051,大阪市阿倍野区（以下略）,特定非営利活動法人　コーナス,5,2007/06/01
2722700024,障害福祉サービス事業　グループホーム　かばの木（共同生活援助）,06-6552-8814,,大阪市大正区（以下略）,社会福祉法人　恩賜財団済生会支部大阪府済生会,8,2007/04/01
2724100025,グループホーム中津,06-6371-3000,06-6376-1267,大阪市北区（以下略）,社会福祉法人　光�ｺ寺善隣館,8,2006/10/01
2720200019,社会福祉法人すずらん福祉会グループホームひだまり,06-6450-1488,06-6450-1488,大阪市福島区（以下略）,社会福祉法人　すずらん福祉会,11,2006/10/01
2724100017,ムーンストーン２１,06-6454-8445,06-6454-8445,大阪市福島区（以下略）,社会福祉法人　大淀福祉会,14,2006/10/01
2720200027,地域生活援助事業所ビーンズ,06-6461-3334,06-6461-3334,大阪市福島区（以下略）,社会福祉法人大阪市手をつなぐ育成会,13,2006/10/01
2729400024,大肢協コミュニティホームズ・中央,06-6940-4186,06-6943-4668,大阪市中央区（以下略）,社会福祉法人　大阪府肢体不自由者協会,28,2006/10/01
2720400106,地域生活援助事業所メープル,06-6584-9261,06-6584-9262,大阪市港区（以下略）,社会福祉法人大阪市手をつなぐ育成会,37,2006/10/01
2722700016,ユニオン,06-6556-0881,06-6556-0882,大阪市大正区（以下略）,社会福祉法人　ワークスユニオン,54,2006/10/01
2724300021,グループホームなにわ,06-6633-3171,06-6633-3171,大阪市浪速区（以下略）,特定非営利活動法人　障害者地域生活支援の会なにわ,7,2006/10/01
2724300013,グループホームがじゅまる,06-6647-2077,06-6647-2087,大阪市浪速区（以下略）,社会福祉法人　ピースクラブ,12,2006/10/01
2721000012,姫島風の家,06-6477-8730,,大阪市西淀川区（以下略）,社会福祉法人　水仙福祉会,17,2006/10/01
2729100020,グループホームあえる,06-6301-0344,06-6301-0121,大阪市淀川区（以下略）,医療法人　遊心会,13,2006/10/01
2729100046,エスペランサ,06-6390-1514,06-6885-7813,大阪市淀川区（以下略）,社会福祉法人　関西中央福祉会,41,2006/10/01
2729100038,加島苑,06-6308-7206,06-6308-7299,大阪市淀川区（以下略）,社会福祉法人　加島友愛会,36,2006/10/01
2723000044,イーハトーブ風の家,06-6990-8270,06-6990-8271,大阪市東淀川区（以下略）,社会福祉法人　水仙福祉会,20,2006/10/01
2723000036,みんなのいえ,06-6328-2941,06-6328-2961,大阪市東淀川区（以下略）,社会福祉法人　ノーマライゼーション協会,37,2006/10/01
2723000028,ふれあいホーム,06-6324-4498,06-6324-4498,大阪市東淀川区（以下略）,特定非営利活動法人　東淀川ふれあい市民の会,12,2006/10/01
2722300049,清心ぴっころ,06-6972-8065,06-6972-8066,大阪市東成区（以下略）,社会福祉法人　清心会,27,2006/10/01
2721500029,サボテンハウス,06-7503-4455,06-7503-4455,大阪市東成区（以下略）,特定非営利活動法人　東成精神障害者を支える会サラダ倶楽部,23,2006/10/01
2722200033,グループホームＨＩＴ,06-6754-3586,06-6754-3586,大阪市生野区（以下略）,特定非営利活動法人　精神障害者支援の会ヒット,20,2006/10/01
2725500116,ホームズ中央,06-6751-5074,06-6751-5074,大阪市生野区（以下略）,社会福祉法人　大阪手をつなぐ育成会,22,2006/10/01
2722200017,ひかりのおひさまハウス,06-6758-6078,06-6758-6078,大阪市生野区（以下略）,社会福祉法人　ひかり,12,2006/10/01
2722200025,社会福祉法人聖フランシスコ会生野みんなの家,06-6785-7301,06-6785-7301,大阪市生野区（以下略）,社会福祉法人　聖フランシスコ会,12,2006/10/01
2722200041,グループホームとんぼまる,06-6751-3141,06-6751-3141,大阪市生野区（以下略）,特定非営利活動法人　出発のなかまの会,28,2006/10/01
2723100059,あかつきの家,06-6954-0971,06-6954-0972,大阪市旭区（以下略）,社会福祉法人　大阪福祉事業財団,21,2006/10/01
2723100042,グループホームひまわり,06-6929-1656,06-6929-1656,大阪市旭区（以下略）,社会福祉法人　地域ゆめの会,21,2006/10/01
2723100034,ＳＵＭＵＳＵＭＵ,06-6951-3321,06-6951-3321,大阪市旭区（以下略）,特定非営利活動法人　ライフサイクルサポート関西,15,2006/10/01
2723100026,旭東グループホーム,06-6955-1124,,大阪市旭区（以下略）,特定非営利活動法人　さかえ会,9,2006/10/01
2724400045,かえでの家,06-6930-7045,06-6930-7045,大阪市城東区（以下略）,社会福祉法人　大阪福祉事業財団,34,2006/10/01
2729200028,グループホーム　つばき,06-6939-1101,06-6939-1102,大阪市城東区（以下略）,社会福祉法人　椿福祉会,33,2006/10/01
2724400011,からたち,06-6924-9975,06-6924-9976,大阪市城東区（以下略）,社会福祉法人　そよ風,8,2006/10/01
2722300023,医療法人西口診療所グループホームＡＢＥＮＯ,06-6719-2702,06-6719-4502,大阪市阿倍野区（以下略）,医療法人　西口診療所,4,2006/10/01
2722300072,グループホームアテナ,06-6629-7778,06-6621-5575,大阪市阿倍野区（以下略）,社会福祉法人日本ヘレンケラー財団,48,2006/10/01
2722300056,グループホームいちご,06-6605-1153,06-6605-1153,大阪市阿倍野区（以下略）,特定非営利活動法人　いちごの会,35,2006/10/01
2722300080,四天王寺さんめい苑サポートハウス宙,06-6605-1050,06-6625-0481,大阪市阿倍野区（以下略）,社会福祉法人　四天王寺福祉事業団,10,2006/10/01
2722300064,ミッキーハウス,06-6648-1717,06-6648-1300,大阪市阿倍野区（以下略）,特定非営利活動法人　大阪マック,25,2006/10/01
2725900019,虹,050-3328-3119,06-6684-2700,大阪市住之江区（以下略）,社会福祉法人　いわき学園,11,2006/10/01
2722000045,第２ひかり荘,06-6697-5880,06-6697-5880,大阪市住吉区（以下略）,社会福祉法人あさか会,34,2006/10/01
2722000037,ひかり荘,06-6698-5702,06-6698-5752,大阪市住吉区（以下略）,社会福祉法人あさか会,21,2006/10/01
2722000011,障がい児者余暇生活支援センターじらふグループホームだいく,06-6678-7572,06-6678-7573,大阪市住吉区（以下略）,社会福祉法人　ライフサポート協会,8,2006/10/01
2720800040,みんなの家「フェロー」,06-6797-9916,06-6797-8110,大阪市東住吉区（以下略）,特定非営利活動法人　だんでらいおん,15,2006/10/01
2725800060,ホームａ,06-6709-3525,06-6709-3525,大阪市東住吉区（以下略）,特定非営利活動法人ヤハウェ,8,2006/10/01
2720800016,グループホーム　みんと,06-6708-7606,06-6708-7607,大阪市東住吉区（以下略）,社会福祉法人　つむぎ福祉会,45,2006/10/01
2725800102,永寿ホームあおぎり,06-4302-3366,06-4302-3366,大阪市平野区（以下略）,社会福祉法人　永寿福祉会,28,2006/10/01
2725800037,グループホームマーズ,06-6769-0011,06-6769-0011,大阪市平野区（以下略）,特定非営利活動法人ダッシュ・オン,19,2006/10/01
2725800045,ｂｅｇｉｎ,06-6792-0092,06-6792-0092,大阪市平野区（以下略）,ＮＰＯ法人　オリーブひらの,4,2006/10/01
2725800110,ふれあいホーム,06-4302-4073,06-4302-4074,大阪市平野区（以下略）,社会福祉法人　今川学園,53,2006/10/01
2723300048,先島,06-6651-0503,,大阪市西成区（以下略）,特定非営利活動法人　アザリア,20,2006/10/01
2723300063,共同生活援助ボーンズ,06-6562-5800,06-6562-6677,大阪市西成区（以下略）,社会福祉法人ヒューマンライツ福祉協会,19,2006/10/01
2723300055,共同生活援助ピース,06-6562-5800,06-6562-6677,大阪市西成区（以下略）,社会福祉法人ヒューマンライツ福祉協会,25,2006/10/01
