申請者－名称,事業所－名称,事業所－郵便番号,事業所－住所,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,共生型
社会福祉法人　育成福祉会,美南風,901-1104,沖縄県島尻郡南風原町字宮平546-8,098-888-1353,098-889-8648,共同生活援助,4720400011,2006/10/1,
医療法人　フェニックス,はくあいの園,901-0015,沖縄県島尻郡南風原町字新川452-1,098-889-4830,098-889-4859,共同生活援助,4720400029,2006/10/1,
社会福祉法人　伊集の木会,グループホーム　伊集の木荘,902-0061,沖縄県那覇市古島12-1　ピュアパレス黒潮301,098-864-0033,098-864-0107,共同生活援助,4720600016,2006/10/1,
社会福祉法人大信福祉会,ゆいハウス,904-2174,沖縄県沖縄市字与儀１－１－２９　ゆいハウス１号館,098-938-7000,098-938-9666,共同生活援助,4720800012,2006/10/1,
医療法人卯の会,グループホームあらかき,904-0011,沖縄県沖縄市照屋５丁目２３番１２号,098-934-4888,098-934-4888,共同生活援助,4720800020,2006/10/1,
社会福祉法人　ハイジ福祉会,グリーンホーム,901-2421,沖縄県中頭郡中城村登又269番地１米須アパート202号、203号,098-895-3999,098-895-3547,共同生活援助,4720900010,2006/10/1,
特定非営利活動法人　ミラソル会,グループホーム　向日葵荘,901-2424,沖縄県中頭郡中城村南上原501　ｷｬﾝﾊﾟｽｻｲﾄﾞｼﾀｰﾙ201・202・203,098-944-2874,098-944-2874,共同生活援助,4721240010,2006/10/1,
社会福祉法人　おきなか福祉会,あすかホーム,904-1102,沖縄県うるま市石川東山1-5-1,098-965-0885,098-965-5931,共同生活援助,4721300012,2006/10/1,
社会福祉法人　緑和会,ステップホーム,904-2205,沖縄県うるま市字栄野比939,098-972-4345,098-972-2173,共同生活援助,4721300020,2006/10/1,
医療法人　社団　志誠会,グループホームしせいかい,904-2222,沖縄県うるま市上江洲460,098-974-6000,098-974-6003,共同生活援助,4721300046,2006/10/1,
社会福祉法人　いしなぐ福祉会,そよ風の家,905-0005,沖縄県名護市為又643番地1,0980-52-1479,0980-53-5964,共同生活援助,4721600015,2006/10/1,
社会福祉法人　名護学院,ライフサポートひだまり,905-0011,沖縄県名護市宮里1-3-18,0980-43-5888,0980-43-5885,共同生活援助,4721600023,2006/10/1,
社会福祉法人　一心福祉会,グループホームえすの里,905-1318,沖縄県国頭郡大宜味村字津波1971-35,0980-44-2117,0980-44-2129,共同生活援助,4721710012,2006/10/1,
社会福祉法人　朝日福祉会,共同生活援助事業所　なかま荘,904-1201,沖縄県国頭郡金武町金武11655番地10,098-968-3575,098-968-3575,共同生活援助,4721770032,2006/10/1,
社会福祉法人　つきしろ福祉会,ライフハウス,901-1412,沖縄県南城市佐敷新里1948番地,098-947-1183,098-947-3431,共同生活援助,4722000017,2006/10/1,
社会福祉法人　ニライカナイ,グループホーム翔,901-1203,沖縄県南城市大里字高平131-36,098-946-7177,098-946-7120,共同生活援助,4722000025,2006/10/1,
社会福祉法人ムサアザ福祉会,とびうおハウス,906-0007,沖縄県宮古島市平良字東仲宗根234-1,0980-73-5305,0980-73-5306,共同生活援助,4722300011,2006/10/1,
