申請者－名称,事業所－名称,事業所－郵便番号,事業所－住所,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,廃止年月日,失効年月日
社会福祉法人山の子会,咲楽,659-0033,兵庫県芦屋市高浜町1番7号高浜町ライフサポートステーション2階,0797-31-3252,0797-31-3265,共同生活援助,2821000045,2018/12/1,,
株式会社ベンリー,共同生活援助事業所　すきっぷ,668-0807,兵庫県豊岡市山本字東投町２１０－１７,0796-24-2460,0796-24-8160,共同生活援助,2824400101,2018/8/1,,
株式会社ウエルネスコスモ,こすもグループホーム,671-2214,兵庫県姫路市西夢前台２丁目81番地 コスモハイツ赤柴,079-267-2311,079-267-2311,共同生活援助,2824000257,2018/7/1,,
合同会社ｉｓｓｏ,ケアホームｌｉｏｔ,653-0851,兵庫県神戸市長田区五位ノ池町三丁目７番１３号,078-224-0436,078-223-5025,共同生活援助,2820600076,2018/6/1,,
特定非営利活動法人ウェルネットさんだ,短期入所併設型グループホームポラリス,669-1316,兵庫県三田市上井沢４５－１,079-567-5104,079-567-5103,共同生活援助,2821200041,2018/6/1,,
鎮守の森株式会社,グループホーム霊仙,656-1732,兵庫県淡路市小田904,0799-70-4268,0799-70-4268,共同生活援助,2821600059,2018/6/1,,
Ｒｅクリエイト株式会社,グループホームりくりえいと,670-0935,兵庫県姫路市北条口３丁目３１－１,079-221-8017,079-244-1216,共同生活援助,2824000240,2018/6/1,,
社会福祉法人新緑福祉会,グループホームえみのき,651-1106,兵庫県神戸市北区しあわせの村1-20,078-743-1200,078-743-1201,共同生活援助,2825000215,2018/5/1,,
一般社団法人ピア・マリーナ,ピアライフ,655-0043,兵庫県神戸市垂水区南多聞台８丁目２３番３２－２階,078-798-6960,078-798-6960,共同生活援助,2820800114,2018/4/1,,
社会福祉法人明桜会,あいすくりーむの家,674-0051,兵庫県明石市大久保町大窪２７４６－１,078-224-5384,078-224-5389,共同生活援助,2822000119,2018/4/1,,
特定非営利活動法人川西市手をつなぐ育成会,地域生活支援かわにしホームたきやま,666-0002,兵庫県川西市滝山町７－７,072-786-9244,072-786-9244,共同生活援助,2823100090,2018/4/1,,
社会福祉法人コスモス福祉会,グループホームコスモス猪名川寮,666-0244,兵庫県川辺郡猪名川町上野字池尻２６－１,06-6386-0012,06-6386-0012,共同生活援助,2823200023,2018/4/1,,
有限会社おかあさん,あいおいGH,673-0552,兵庫県三木市志染町中自由が丘３丁目１０８,0794-88-6103,0794-88-6105,共同生活援助,2822300071,2018/3/1,,
社会福祉法人　ゆめさき会,ろはうす,671-2106,兵庫県姫路市夢前町莇野1772番1,079-336-2525,079-336-1122,共同生活援助,2824000232,2018/3/1,,
有限会社エイト,みらいのたね,658-0052,兵庫県神戸市東灘区住吉東町１丁目３－１１,078-891-5913,078-891-5909,共同生活援助,2820100044,2018/2/1,,
有限会社アイライフ,あじさいの家,674-0056,兵庫県明石市大久保町山手台1丁目41 大久保住宅16号棟107・108,078-935-0280,078-936-9895,共同生活援助,2822000101,2018/2/1,,
株式会社庵,ぱいん・ツリー,655-0013,兵庫県神戸市垂水区福田5丁目2-16,078-704-6088,078-755-0509,共同生活援助,2820800106,2018/1/1,,
ＩＲＦ合同会社,グループホームあさんて,662-0061,兵庫県西宮市松ケ丘町9番22号,0798-55-8306,0798-55-8306,共同生活援助,2820900203,2018/1/1,,
株式会社みずほ,ななつ星,669-2332,兵庫県篠山市北新町53-3,079-554-3488,079-554-3489,共同生活援助,2821400047,2017/12/1,,
特定非営利活動法人川西市手をつなぐ育成会,久代ハウス,666-0024,兵庫県川西市久代2丁目５－４０,072-757-5023,072-757-5023,共同生活援助,2823100082,2017/11/1,,
ＴＫＪ合同会社,ケアホーム実りの木,664-0001,兵庫県伊丹市荒牧６丁目２４－７,072-786-1888,072-786-1888,共同生活援助,2823300112,2017/10/15,,
社会福祉法人光朔会,グループホームオリンピアながみね,657-0068,兵庫県神戸市灘区篠原北町四丁目13番27号,078-221-7098,078-241-3745,共同生活援助,2820200034,2017/10/1,,
一般社団法人障がい者支援協会志明会,志明ハウス樋ノ口町,663-8011,兵庫県西宮市樋ノ口町1-10-39,0798-81-3030,0798-81-3030,共同生活援助,2820900187,2017/9/1,,
株式会社　Ｌ・Ｍ・Ｔ,グループホーム「～輝き～Kagayaki」,662-0035,兵庫県西宮市若松町3-8,0798-20-4514,0798-20-4514,共同生活援助,2820900195,2017/9/1,,
株式会社　リナリアン,ホーム　マリア,660-0892,兵庫県尼崎市東難波町５丁目５－５,06-7181-6452,06-7161-5057,共同生活援助,2823000282,2017/9/1,,
一般社団法人ＲＩＳＥ,ＧＨサンライズ,672-8088,兵庫県姫路市飾磨区英賀西町一丁目６０番地２,079-280-5960,079-280-5970,共同生活援助,2824000224,2017/9/1,,
特定非営利活動法人　淡路障害者連絡会,アミアミハウス,656-0021,兵庫県洲本市塩屋2丁目1番57号,0799-38-6688,0799-38-6688,共同生活援助,2821500051,2017/7/15,,
社会福祉法人クローバーの会,ホーム友が丘,654-0142,兵庫県神戸市須磨区友が丘5丁目5番地の160,078-795-5210,078-795-5210,共同生活援助,2820700074,2017/5/1,,
株式会社ステラマインド,ミューズ神戸,655-0853,兵庫県神戸市垂水区つつじが丘3丁目4-7,078-843-6119,078-242-7952,共同生活援助,2820800080,2017/5/1,,
社会福祉法人神戸聖隷福祉事業団,グループホームふくだ,655-0013,兵庫県神戸市垂水区福田1丁目12番22号,078-704-6606,078-704-6607,共同生活援助,2820800098,2017/5/1,,
社会福祉法人陽気会,みのたにホーム,651-1243,兵庫県神戸市北区山田町下谷上字芝山8番地アルタイル中上102,078-581-8722,078-581-8722,共同生活援助,2825000207,2017/5/1,,
一般社団法人ポータル,レミダン蓬川,660-0893,兵庫県尼崎市西難波町3丁目12-17,06-6411-8811,06-6417-2001,共同生活援助,2823000274,2017/4/1,,
社会福祉法人とよおか福祉会,社会福祉法人とよおか福祉会　グループホーム,668-0027,兵庫県豊岡市若松町５－２７,0796-37-8085,0796-37-8082,共同生活援助,2824400093,2017/4/1,,
アロー株式会社,和みの家,676-0076,兵庫県高砂市伊保崎1-7-26,079-448-6868,,共同生活援助,2822100042,2016/12/1,,
社会福祉法人はなさきむら,グループホームあさがお,671-2577,兵庫県宍粟市山崎町山崎313,090-9094-2388,0790-74-8001,共同生活援助,2823800046,2016/12/1,,
NPO法人ピアサポートひまわりの家,グループホームひろたけ,671-2575,兵庫県宍粟市山崎町山田242-1,0790-62-5996,,共同生活援助,2823800038,2016/11/1,,
特定非営利活動法人幸真会,大和西ホーム,666-0112,兵庫県川西市大和西１丁目５０－５,072-703-6380,072-703-2126,共同生活援助,2823100074,2016/10/1,,
合同会社福祉の家,あーちほーむ,674-0084,兵庫県明石市魚住町西岡1585-3,078-941-2850,078-941-2850,共同生活援助,2822000093,2016/8/15,,
合同会社あい,グループホームあい,672-8086,兵庫県姫路市飾磨区西浜町一丁目２３番地６,079-238-3770,079-238-3772,共同生活援助,2824000216,2016/8/1,,
医療法人社団東峰会,なのはなハウス,674-0074,兵庫県明石市魚住町清水631明石守池高層1号棟118,078-967-1202,078-969-1626,共同生活援助,2822000085,2016/7/1,,
社会福祉法人ぶったぁ福祉会,グループホームぶったぁ,656-2401,兵庫県淡路市岩屋488番地1,0799-70-6145,0799-70-4001,共同生活援助,2821600042,2016/6/1,,
株式会社ａｃｑｕｉｒｅ,恵の光　細田,653-0835,兵庫県神戸市長田区細田町3丁目1番20-2号,078-201-3975,078-201-3975,共同生活援助,2820600068,2016/5/1,,
特定非営利活動法人サニーサイド,ほっこり庵,661-0953,兵庫県尼崎市東園田町９－４０－５,06-6493-0355,06-6493-0455,共同生活援助,2823000266,2016/5/1,,
特定非営利活動法人はなのいえ,グループホームはなの家,671-2214,兵庫県姫路市西夢前台一丁目１０７番地,079-228-2828,079-228-2826,共同生活援助,2824000208,2016/5/1,,
特定非営利活動法人ウィズアス,ホーム　えほん,653-0834,兵庫県神戸市長田区川西通５丁目107-４,078-643-0120,078-643-0120,共同生活援助,2820600050,2016/4/1,,
社会福祉法人養徳会,障がい者生活援助センターようぼく,679-1111,兵庫県多可郡多可町中区鍛冶屋719-14,0795-32-3505,0795-30-2130,共同生活援助,2822700049,2016/4/1,,
一般社団法人暮らしの学校農楽,グループホームの～ら,668-0272,兵庫県豊岡市出石町鳥居７８５番地,0796-20-1295,0796-20-3295,共同生活援助,2824400085,2016/4/1,,
ＮＰＯ法人ぱれっと,グループホーム　ほわいと,651-2128,兵庫県神戸市西区玉津町今津579番4,078-911-9922,078-911-9922,共同生活援助,2825200161,2016/3/15,,
特定非営利活動法人子供たちの立場に立った保育を実践する会,波の家グループホーム,674-0084,兵庫県明石市魚住町西岡1874-2,078-995-5150,078-995-5150,共同生活援助,2822000077,2016/3/1,,
社会福祉法人神戸聖隷福祉事業団,グループホームたいのはた東,654-0134,兵庫県神戸市須磨区多井畑東町24-14,078-791-2001,078-795-0197,共同生活援助,2820700066,2016/2/1,,
社会福祉法人ゆうわ福祉会,すみれ荘,651-1113,兵庫県神戸市北区鈴蘭台南町5-3-20,078-593-7606,078-904-8019,共同生活援助,2825000199,2016/2/1,,
株式会社清和,グループホームカーネーション,665-0011,兵庫県宝塚市南口２丁目１－３９,0797-77-6630,0797-84-7527,共同生活援助,2821100100,2015/12/1,,
社会福祉法人みんなの労働文化センター,はらぺこ,661-0982,兵庫県尼崎市食満７丁目１０－１７,06-6497-3010,06-6497-2105,共同生活援助,2823000241,2015/10/1,,
社会福祉法人ヴィ・リール,ヴィ・リール生活支援センターケアホーム,661-0035,兵庫県尼崎市武庫之荘８丁目１３番４－１０２号,06-6436-0402,06-6436-0432,共同生活援助,2823000258,2015/10/1,,
一般社団法人五風会,ごふうホーム,660-0071,兵庫県尼崎市崇徳院２丁目１０９番地の２,06-6418-7727,06-6423-8738,共同生活援助,2823000233,2015/9/1,,
特定非営利活動法人　ラーフ・ウッド福祉会,ラーフの郷,679-2124,兵庫県姫路市豊富町甲丘一丁目１番地県営江鮒団地９棟１０１号,079-240-5308,079-240-5707,共同生活援助,2824000182,2015/9/1,,
特定非営利活動法人たつのGHO,グループホームＧｈｏ,679-4141,兵庫県たつの市揖保町栄92番地10,0791-67-1327,0791-67-1329,共同生活援助,2823600081,2015/8/1,,
株式会社マンジュリカ,グループホーム「vivid」,663-8184,兵庫県西宮市鳴尾町4丁目12-13,0798-41-2005,0798-41-2005,共同生活援助,2820900179,2015/6/1,,
特定非営利活動法人でかけ隊,そわか,668-0003,兵庫県豊岡市江野150,0796-24-1361,0796-24-1361,共同生活援助,2824400077,2015/5/15,,
社会福祉法人円勝会,ドリーム甲子園尼崎ホーム事業,660-0812,兵庫県尼崎市今福２－１１－３８,06-6401-1188,06-6401-1188,共同生活援助,2823000225,2015/4/1,,
社会福祉法人　ひびき福祉会,共同生活援助　ひびきdeほ～む,671-0255,兵庫県姫路市花田町小川657県営姫路花田鉄筋住宅1号棟103号、104号,079-280-2528,079-280-2528,共同生活援助,2824000166,2015/4/1,,
特定非営利活動法人ひかみボルゴベネッセレ,グループホームぴあ,669-3601,兵庫県丹波市氷上町成松字高畑500－7　氷上成松鉄筋団地2号棟104号,0795-82-0222,0795-82-0222,共同生活援助,2821300072,2014/11/1,,
阪神福祉企画株式会社,ＰｕｒａＶｉｄａ大物,660-0823,兵庫県尼崎市大物町１－５－２４　第３ヨシダビル阪神大物,06-6482-3066,06-6482-3066,共同生活援助,2823000209,2014/9/1,,
社会福祉法人さつき福祉会,グループホーム天満,667-0306,兵庫県養父市大屋町宮垣２２４－６７,079-663-8510,079-663-8050,共同生活援助,2824800029,2014/8/1,,
特定非営利活動法人おりーむ２１,ケア・サポートおりーむ２１,673-0038,兵庫県明石市別所町16-33,078-924-3625,078-924-3658,共同生活援助,2822000069,2014/7/15,,
一般社団法人近畿福祉会,近畿福祉会グループホームＨＹＯＧＯ,664-0008,兵庫県伊丹市荒牧南３丁目１７－３０,072-773-5137,072-773-5138,共同生活援助,2823300104,2014/7/1,,
社会福祉法人神戸聖隷福祉事業団,グループホームみなみたもん,655-0043,兵庫県神戸市垂水区南多聞台２丁目２番地 県営南多聞台第２鉄筋１号棟-201号、202号,078-784-7515,078-795-7515,共同生活援助,2820800072,2014/5/1,,
一般社団法人ＳＯＬＡ,そらいろホーム,665-0034,兵庫県宝塚市小林５丁目５－３０－１０２,0797-26-7216,0797-26-7216,共同生活援助,2821100092,2014/5/1,,
社会福祉法人くすのき会,ホーム佑友,651-1123,兵庫県神戸市北区ひよどり台5丁目7番地 64号棟506号室,078-591-8491,078-591-8494,共同生活援助,2825000181,2014/5/1,,
社会福祉法人神戸聖隷福祉事業団,ケアホームきたすま,654-0153,兵庫県神戸市須磨区南落合１丁目４番６号,078-793-5553,078-793-5553,共同生活援助,2820700017,2014/4/1,,
社会福祉法人円勝会,ドリーム甲子園ホーム事業,663-8143,兵庫県西宮市枝川町１７－４１,0798-42-6510,0798-42-6511,共同生活援助,2820900021,2014/4/1,,
社会福祉法人一羊会,山口町ホーム,651-1412,兵庫県西宮市山口町下山口１丁目１１－９－２０２・２０３,078-903-3039,078-903-3039,共同生活援助,2820900047,2014/4/1,,
特定非営利活動法人地域生活支援センターれん,ホーム創,663-8244,兵庫県西宮市津門綾羽町6-33,0798-22-5574,0798-22-5574,共同生活援助,2820900088,2014/4/1,,
特定非営利活動法人西宮がすきやねん,あおば生活ホーム,662-0032,兵庫県西宮市桜谷町１１－４７,0798-33-8220,0798-33-8221,共同生活援助,2820900153,2014/4/1,,
社会福祉法人三田谷治療教育院,グループホーム 燈,659-0015,兵庫県芦屋市楠町１５番２０号,0797-25-2080,0797-25-2081,共同生活援助,2821000029,2014/4/1,,
社会福祉法人芦屋みどり福祉会,芦屋みどりホーム,659-0021,兵庫県芦屋市春日町１８－１２,0797-34-9551,0797-34-9551,共同生活援助,2821000037,2014/4/1,,
特定非営利活動法人阪神・障害者人権ネットワーク,みんなの家,665-0823,兵庫県宝塚市安倉南２丁目１７－３エミネンス岡本２０１,0797-84-5111,0797-86-1356,共同生活援助,2821100068,2014/4/1,,
社会福祉法人尼崎武庫川園,こころ＆つばさ,665-0045,兵庫県宝塚市光明町２６－１６,0798-53-2307,0798-53-3830,共同生活援助,2821100084,2014/4/1,,
社会福祉法人　淡鳳会,ケアホームフローラなんだん,656-0516,兵庫県南あわじ市賀集福井2051-7,0799-50-2544,0799-50-2545,共同生活援助,2821700024,2014/4/1,,
社会福祉法人明桜会,やまゆりの家,674-0057,兵庫県明石市大久保町高丘3-3-1,078-934-6129,078-934-6129,共同生活援助,2822000044,2014/4/1,,
社会福祉法人祉栄会,ケアホームリノ加古川,675-0061,兵庫県加古川市加古川町大野字山ノ下８９１,079-422-4741,079-422-4791,共同生活援助,2822200032,2014/4/1,,
医療法人樹光会,こもれび,673-0404,兵庫県三木市大村字北山１０７４－１９０,0794-82-2173,0794-82-2173,共同生活援助,2822300048,2014/4/1,,
特定非営利活動法人三木市手をつなぐ育成会,れんげハウス,673-0405,兵庫県三木市平田５６４－１,0794-82-8780,0794-82-8780,共同生活援助,2822300063,2014/4/1,,
社会福祉法人　ゆたか会,大空,675-2103,兵庫県加西市鶉野町１１３２－１８,0790-21-9028,0790-21-9029,共同生活援助,2822600017,2014/4/1,,
社会福祉法人祉栄会,ラデュールいなみ,675-1122,兵庫県加古郡稲美町中村1393-79,079-496-5021,079-496-5022,共同生活援助,2822800021,2014/4/1,,
一般社団法人福祉心話会,しんわケアホーム事業,660-0075,兵庫県尼崎市大庄中通２丁目２３－２,06-6419-4367,06-6419-4368,共同生活援助,2823000100,2014/4/1,,
社会福祉法人地域共生スペースぷりぱ,ケアホームぷりぱ,661-0033,兵庫県尼崎市南武庫之荘１１－１－８,06-6433-2320,06-6415-6456,共同生活援助,2823000118,2014/4/1,,
一般社団法人福祉心話会,しんわ第２ホーム事業,660-0876,兵庫県尼崎市竹谷町１－１６,06-4869-5145,06-4869-5146,共同生活援助,2823000183,2014/4/1,,
社会福祉法人円勝会,社会福祉法人円勝会ドリーム甲子園川西ホーム事業,666-0129,兵庫県川西市緑台６丁目３－７,072-741-7871,072-759-0339,共同生活援助,2823100058,2014/4/1,,
特定非営利活動法人障害者地域生活応援団あかね,あかねホーム,666-0122,兵庫県川西市東多田１丁目５－１,072-792-6639,072-744-5822,共同生活援助,2823100066,2014/4/1,,
社会福祉法人いたみ杉の子,ウォークゆう,664-0888,兵庫県伊丹市昆陽南１丁目５－４３,072-777-7470,072-777-7472,共同生活援助,2823300021,2014/4/1,,
社会福祉法人協同の苑,わかば,664-0028,兵庫県伊丹市西野３丁目２４８県営西野第５住宅,072-777-2063,072-777-2063,共同生活援助,2823300062,2014/4/1,,
株式会社てとてと,てとてと共同生活援助事業所,664-0006,兵庫県伊丹市鴻池４丁目１０－１,072-779-3361,072-779-3361,共同生活援助,2823300088,2014/4/1,,
特定非営利活動法人手をつなぐ,ホームたんぽぽ,664-0028,兵庫県伊丹市西野３丁目２４８県営サンライフ伊丹１０４,072-744-7511,072-744-7512,共同生活援助,2823300096,2014/4/1,,
社会福祉法人愛心福祉会,共同生活援助うさぎとかめ,678-1262,兵庫県赤穂郡上郡町岩木甲６３９－１,0791-52-3959,0791-52-4167,共同生活援助,2823900010,2014/4/1,,
特定非営利活動法人暮らし支援センターかしのき,ＮＰＯ暮らし支援センターかしのき,671-2246,兵庫県姫路市打越魚ヶ鼻２４－３５,079-266-5153,079-266-5153,共同生活援助,2824000109,2014/4/1,,
社会福祉法人　姫路潮会,ケアホーム　きらめ樹・かがや樹,671-1241,兵庫県姫路市網干区興浜９０７番地１４２,079-272-0125,079-274-0487,共同生活援助,2824000141,2014/4/1,,
社会福祉法人　姫路睦福祉会,ケアホーム広畑の家,671-1116,兵庫県姫路市広畑区正門通四丁目１番地６,079-238-1126,079-238-1126,共同生活援助,2824000158,2014/4/1,,
認定NPO法人　はばたけ手をつなぐ育成会,ＯＨＡＮＡ,668-0063,兵庫県豊岡市正法寺５４２－１４,0796-34-6607,0796-34-9085,共同生活援助,2824400028,2014/4/1,,
社会福祉法人かるべの郷福祉会,かるべの郷グループホーム夢一,667-0115,兵庫県養父市上箇字宮ノ前　４３８－１,079-664-0450,079-664-0450,共同生活援助,2824800011,2014/4/1,,
特定非営利活動法人わいず,ケアホームわいず,651-1211,兵庫県神戸市北区小倉台４丁目１５－１５,078-582-3977,078-582-3977,共同生活援助,2825000108,2014/4/1,,
社会福祉法人恵泉寮,わかばホーム,651-1143,兵庫県神戸市北区若葉台1丁目1-6,078-591-1515,078-591-1516,共同生活援助,2825000116,2014/4/1,,
あん株式会社,さくら庵神戸邸,651-1221,兵庫県神戸市北区緑町2-1-16,078-581-0455,078-581-0455,共同生活援助,2825000173,2014/4/1,,
社会福祉法人あおぞら,ケアホームたけはし,651-2144,兵庫県神戸市西区玉津町小山５６１－１９,078-927-0964,078-927-0964,共同生活援助,2825200146,2014/4/1,,
株式会社いくせい,いくせい元気ホーム１番館,651-1113,兵庫県神戸市北区鈴蘭台南町6丁目13-9,078-958-4770,078-958-5177,共同生活援助,2825000165,2014/3/1,,
社会福祉法人 惠愛園,オレンジホーム西宮,651-1412,兵庫県西宮市山口町下山口966-1,078-903-3661,078-903-3665,共同生活援助,2820900161,2014/2/1,,
社会福祉法人ながたひろば,わっはの家,658-0052,兵庫県神戸市東灘区住吉東町3丁目1番9-3号,078-611-2246,078-647-8262,共同生活援助,2820100036,2014/1/1,,
NPO法人はりま福祉会,ハイツ山崎,671-2574,兵庫県宍粟市山崎町中広瀬２２－１,0790-62-8278,,共同生活援助,2823800020,2013/12/15,,
特定非営利活動法人すまいる,ホームひまわり,679-1135,兵庫県多可郡多可町中区安坂４７４－２,0795-32-0272,0795-32-0272,共同生活援助,2822700031,2013/11/1,,
社会福祉法人輝福祉会,明倫の郷　ケアホーム,660-0063,兵庫県尼崎市大庄北４－２３－３３,06-6439-6217,06-6418-8285,共同生活援助,2823000175,2013/10/1,,
社会福祉法人兵庫県社会福祉事業団,小野起生園共同生活援助事業所,675-1355,兵庫県小野市新部町１丁通１３２０,0794-66-6121,0794-66-6158,共同生活援助,2821900012,2013/9/1,,
特定非営利活動法人たつのおとしご,たつのおとしご１号館,679-4169,兵庫県たつの市龍野町大道６９３番地,0791-63-5858,0791-63-5858,共同生活援助,2823600073,2013/8/1,,
有限会社日和,シェアハウス　武庫の里,661-0041,兵庫県尼崎市武庫の里１丁目１９－６,06-6437-7559,06-4962-5770,共同生活援助,2823000167,2013/7/1,,
社会福祉法人いかり,ホームいかり,654-0155,兵庫県神戸市須磨区西落合４丁目１番235-404,078-651-1902,078-651-7802,共同生活援助,2820700058,2013/4/1,,
特定非営利活動法人セルフサポートいずし,久畑　希望ヶ丘,668-0373,兵庫県豊岡市但東町久畑３２７－１,0796-55-0701,,共同生活援助,2824400069,2013/4/1,,
特定非営利活動法人　こぐまくらぶ,こぐまホーム,655-0043,兵庫県神戸市垂水区南多聞台4丁目11-3-104,078-785-1300,078-785-1300,共同生活援助,2820800064,2013/3/1,,
合同会社生活サポート,尼崎高田住居,661-0963,兵庫県尼崎市高田町２－３４－２,070-5665-3545,,共同生活援助,2823000159,2013/3/1,,
特定非営利活動法人福祉苑リーベの会,グループホームレインボーハウス,673-0026,兵庫県明石市船上町８－３,078-923-0911,078-911-7851,共同生活援助,2822000051,2013/1/6,,
株式会社ネクステ,ネクステハウジング,669-3301,兵庫県丹波市柏原町南多田655番地5　305号,0795-80-2250,0795-80-1294,共同生活援助,2821300049,2013/1/1,,
特定非営利活動法人　権利擁護あさひ,自立の家　きずな,668-0221,兵庫県豊岡市出石町町分４９２－１,0796-20-3803,0796-52-6669,共同生活援助,2824400044,2013/1/1,,
社会福祉法人 フレンド,シャトレミノン,651-1111,兵庫県神戸市北区鈴蘭台北町７丁目２－２,078-593-7373,078-593-7373,共同生活援助,2825000157,2013/1/1,,
特定非営利活動法人神戸ぶどうの樹,長閑,655-0854,兵庫県神戸市垂水区桃山台1丁目17 県営桃山台第2鉄筋2号棟406号,078-753-6817,078-753-6817,共同生活援助,2820800056,2012/4/1,,
医療法人山伍会,ウェルネスホーム伍楽園,671-0122,兵庫県高砂市北浜町北脇９１１,079-254-6655,079-254-6631,共同生活援助,2822100034,2012/4/1,,
社会福祉法人もみじ会,かえでホーム,679-4341,兵庫県たつの市新宮町能地２４８－３,0791-75-2905,0791-75-3948,共同生活援助,2823600065,2012/4/1,,
社会福祉法人ひょうご障害福祉事業協会,グループホーム「楽」,671-4243,兵庫県宍粟市波賀町小野６０５－１,0790-75-2275,0790-75-2606,共同生活援助,2823800012,2012/4/1,,
社会福祉法人神戸聖隷福祉事業団,グループホームもみの木・グループホームかしの木,669-5221,兵庫県朝来市和田山町秋葉台１－９９,079-672-4265,079-672-4265,共同生活援助,2824900019,2012/4/1,,
医療法人実風会,ひまわりホーム,651-2124,兵庫県神戸市西区伊川谷町潤和字横尾２３８－４７５,078-919-1721,078-919-1722,共同生活援助,2825200153,2012/4/1,,
特定非営利活動法人ざくろ,ルナ,673-0424,兵庫県三木市自由が丘本町三丁目367,0794-82-8082,0794-84-2771,共同生活援助,2822300055,2012/3/31,,
医療法人敬愛会,ほおずき寮共同生活援助事業所,668-0065,兵庫県豊岡市戸牧1510-6,0796-29-1717,0796-24-6061,共同生活援助,2824400036,2012/3/31,,
社会福祉法人幸,ふぁみーゆ,671-1133,兵庫県姫路市大津区吉美７７１－６,079-272-8277,079-272-8277,共同生活援助,2824000133,2012/3/15,,
特定非営利活動法人稲美町つくしとすぎなの会,つくしの家,675-1105,兵庫県加古郡稲美町加古３６８５－３,079-492-7060,,共同生活援助,2822800013,2012/3/1,,
特定非営利活動法人わかば福祉会,わかばふれ愛ホーム,675-0025,兵庫県加古川市尾上町養田３５１－４,079-424-2002,079-424-2002,共同生活援助,2822200040,2012/2/1,,
特定非営利活動法人Ｇネット,ホームしおかぜ,655-0884,兵庫県神戸市垂水区城が山5丁目2-34 508号,078-752-5401,078-753-6029,共同生活援助,2820800049,2012/1/15,,
特定非営利活動法人兵庫虹の会,グループホームあすなろ,665-0821,兵庫県宝塚市安倉北１－２０２４－１１,0797-98-9497,0797-98-9497,共同生活援助,2821100076,2012/1/15,,
社会福祉法人しんじゅ,ホーリーハウス,654-0054,兵庫県神戸市須磨区須磨本町１丁目１－６,078-739-5390,078-739-5335,共同生活援助,2820700041,2011/9/15,,
社会福祉法人 淡路島福祉会,ボヌール 円行寺,656-0461,兵庫県南あわじ市市円行寺135-2,0799-42-2877,0799-42-2877,共同生活援助,2821700032,2011/9/1,,
特定非営利活動法人 海,ケアホーム宙,650-0025,兵庫県神戸市中央区相生町５丁目１２－１４,078-578-8234,078-578-8234,共同生活援助,2825100031,2011/9/1,,
有限会社コミュニティ・ライフサポートいずみ,泉台ホーム,651-1141,兵庫県神戸市北区泉台3丁目11-7,078-592-0555,078-592-0555,共同生活援助,2825000140,2011/6/1,,
特定非営利活動法人三田市手をつなぐ育成会,ホームフラワー,669-1544,兵庫県三田市武庫が丘１丁目１番地２－Ｄ－２０６号,079-559-2701,079-559-2701,共同生活援助,2821200033,2011/4/1,,
特定非営利活動法人すまみらい,風の家,654-0007,兵庫県神戸市須磨区宝田町３－３－２,078-733-1333,078-733-1333,共同生活援助,2820700033,2011/3/1,,
ＮＰＯ法人はりま福祉会,ハイツノバ田寺,670-0086,兵庫県姫路市田寺8丁目１３－４５,079-293-2665,079-293-2665,共同生活援助,2824000117,2010/9/15,,
特定非営利活動法人ひやしんす,さくらホーム,651-1333,兵庫県神戸市北区東大池2丁目5-17,078-981-5366,078-981-5366,共同生活援助,2825000132,2010/8/1,,
社会福祉法人一羊会,地域生活支援センター「ジョイント」ホーム事業課,662-0851,兵庫県西宮市中須佐町４－４,0798-22-6139,0798-22-6139,共同生活援助,2820900039,2010/4/1,,
特定非営利活動法人よつ葉会,クローバーホーム,660-0892,兵庫県尼崎市東難波町３丁目２１－１６,06-6487-0616,06-6487-0616,共同生活援助,2823000092,2010/4/1,,
社会福祉法人ユウカリ福祉会,せせらぎ,666-0246,兵庫県川辺郡猪名川町猪名川台２－３－１０,072-769-1186,072-769-1026,共同生活援助,2823200015,2010/4/1,,
社会福祉法人兵庫県社会福祉事業団,ひまわりの森　共同生活援助事業所,669-6543,兵庫県美方郡香美町香住区若松５４９－１,0796-36-3686,0796-36-3686,共同生活援助,2824700013,2010/4/1,,
社会福祉法人陽気会,おかばホーム,651-1313,兵庫県神戸市北区有野中町２丁目７－１５,078-981-8322,078-981-0825,共同生活援助,2825000124,2010/3/1,,
社会福祉法人シティライト,ホームシティライト,653-0862,兵庫県神戸市長田区西山町2丁目5-2,078-612-4150,078-612-4150,共同生活援助,2820600043,2009/9/1,,
社会福祉法人新緑福祉会,白川台ホーム,654-0103,兵庫県神戸市須磨区白川台２丁目３７－３　県営白川台鉄筋住宅２号棟７６号,078-797-8779,078-797-8779,共同生活援助,2820700025,2009/9/1,,
社会福祉法人でんでん虫の会,ケアホームあんも,673-1334,兵庫県加東市吉井777番地1,0795-46-1552,0795-46-1552,共同生活援助,2822500027,2009/9/1,,
社会福祉法人淡路市社会福祉協議会,淡路市社会福祉協議会ケアホーム,656-2163,兵庫県淡路市中田69-1,0799-62-0955,0799-62-0955,共同生活援助,2821600026,2009/4/1,,
社会福祉法人惠愛園,オレンジホーム姫路,672-8041,兵庫県姫路市三条町２丁目３５,079-234-0131,079-234-0138,共同生活援助,2824000091,2009/4/1,,
特定非営利活動法人　あきら多可,梅花荘,679-1107,兵庫県多可郡多可町中区奥中９７０番地９,0795-32-4599,0795-32-4599,共同生活援助,2822700023,2008/10/1,,
