事業所番号,ｻｰﾋﾞｽ種類,事業所名,事業所郵便番号,事業所所在地1,事業所所在地2,事業所所在地3,事業所電話,事業所FAX,指定後状態名,指定年月日,法人種別名,法人(設置者)名,法人(設置者)所在地1,法人(設置者)所在地2,法人(設置者)所在地3,利用定員,施設等の区分
0120901194,共同生活援助,グループホーム　りらいふ清田,0040847,北海道札幌市清田区,清田７条３丁目１番地１５号,,090-62119627,,提供中,2019/9/1,非営利法人（ＮＰＯ）,特定非営利活動法人　オペア,北海道札幌市白石区,南郷通１２丁目南６－２０,サンケンビル南郷２０３号,5,外部サービス利用型
0120506316,共同生活援助,グループホーム　なごみ　南平,0620934,北海道札幌市豊平区,平岸４条１１丁目１番１０号,ヴィラ朝畑１０１号,011-213-9421,011-213-9421,提供中,2019/9/1,営利法人,合同会社　セイコードーク,北海道札幌市東区,東苗穂１０条２丁目９－１７,カバサワハイツ１０１号,13,介護サービス包括型
0120204599,共同生活援助,グループホーム　グリーンティーⅡ,0010910,北海道札幌市北区,新琴似１０条１丁目１番３２号,,011-827-8116,011-827-8861,提供中,2019/9/1,営利法人,株式会社　アイテラス,北海道札幌市白石区,東札幌２条６丁目１番１１号,,4,介護サービス包括型
0120204581,共同生活援助,プレザント,0010023,北海道札幌市北区,北二十三条西５丁目２-２１-Ｎ２３５,,011-556-5455,011-556-0695,提供中,2019/9/1,営利法人,合同会社 ＬＩＢｓ,北海道札幌市手稲区,新発寒５条７丁目１番５号,,16,外部サービス利用型
0120204565,共同生活援助,あいほーむ　きた,0010032,北海道札幌市北区,北３２条西３丁目３－１８,フロンティアＫ１,011-792-1877,011-792-1878,提供中,2019/9/1,営利法人,株式会社　あいほーむ,北海道札幌市西区,琴似四条１丁目１番１号,,25,介護サービス包括型
0124300757,共同生活援助,つぐみ荘,0883214,北海道川上郡弟子屈町,高栄2丁目3-35,,015-486-7711,015-486-7711,提供中,2019/8/1,社団・財団,一般社団法人　ゆっくりん,北海道川上郡弟子屈町,高栄2-3-36,,12,介護サービス包括型
0121402226,共同生活援助,グループホーム　和奏,0410813,北海道函館市,亀田本町34番25号,,0138-68-1234,0138-68-1234,提供中,2019/8/1,営利法人,合同会社　奏海,北海道函館市,時任町12番11-2号,,5,介護サービス包括型
0120700984,共同生活援助,グループホーム　セレッソ,0630847,北海道札幌市西区,八軒７条西４丁目１－７,,011-611-5060,011-611-5065,提供中,2019/8/1,社団・財団,一般社団法人　美栄,北海道札幌市西区,八軒７条西４丁目１－７,,10,日中サービス支援型
0120103684,共同生活援助,カノア南円山,0640806,北海道札幌市中央区,南６条西１６丁目２－１７,ノースコートフタバ南円山２０６,011-211-1875,011-522-5526,提供中,2019/8/1,非営利法人（ＮＰＯ）,特定非営利活動法人　コンパサーレ,北海道札幌市中央区,南１０条西８丁目２－３６,,5,外部サービス利用型
0123602351,共同生活援助,イグルー高砂町,0530013,北海道苫小牧市,高砂町１丁目１番９号,,0144-35-0577,0144-35-0578,提供中,2019/7/25,営利法人,株式会社クローバーリング,北海道苫小牧市,高砂町１丁目１番９号,,14,介護サービス包括型
0121402200,共同生活援助,障がい者グループホーム　ピアポート若松,0400063,北海道函館市,若松町３２番１１号　第３信勢ビル２・３階,,0138-86-5711,0138-86-5727,提供中,2019/7/1,営利法人,株式会社絆メディカルグループ,北海道函館市,新川町４番３号　新川町ビル２階,,19,介護サービス包括型
0120700927,共同生活援助,障がい者グループホームリープ,0630831,北海道札幌市西区,発寒１１条４丁目４－４,,011-210-8088,011210-8089,提供中,2019/7/1,営利法人,株式会社３ｅｅｅ,北海道江別市,東野幌本町７番５号,,22,介護サービス包括型
0120506266,共同生活援助,グループホームHappy House（はっぴーはうす）平岸,0620932,北海道札幌市豊平区,平岸２条７丁目４－２０,アークパレス平岸３０８号,011-206-8600,011-206-8600,提供中,2019/7/1,非営利法人（ＮＰＯ）,特定非営利活動法人社会福祉活動支援センターHappy life,北海道札幌市中央区,北１条西７丁目１番地１,CARP札幌ビル８０５号室,19,介護サービス包括型
0120301445,共同生活援助,障がい者グループホーム　リーベ,0650041,北海道札幌市東区,本町１条５丁目２番２号,,011-792-6890,011-792-6891,提供中,2019/7/1,営利法人,株式会社グリュック,北海道札幌市北区,新川３条１０丁目２番１６号,,16,介護サービス包括型
0121200497,共同生活援助,あうる,0611371,北海道恵庭市,恵み野東２丁目５－５,,0123-38-9185,0123-38-9185,提供中,2019/6/1,営利法人,株式会社カムコタン,北海道恵庭市,島松仲町１丁目５番１号,,8,介護サービス包括型
0120506233,共同生活援助,グループホームワラク中の島,0620922,北海道札幌市豊平区,中の島２条８丁目３－２３,,011-563-4165,011-563-4175,提供中,2019/6/1,営利法人,株式会社シルフィー,北海道札幌市中央区,南６条西１４丁目２－３,,13,外部サービス利用型
0120404082,共同生活援助,あいほーむ　白石,0030021,北海道札幌市白石区,栄通２丁目１－３０,バーレルハウス,011-299-3081,011-299-3082,提供中,2019/6/1,営利法人,株式会社　アクティックイメージング,北海道札幌市西区,琴似四条１丁目１番１号,,9,介護サービス包括型
0120506191,共同生活援助,グループホームこころ,0620936,北海道札幌市豊平区,平岸６条１２丁目７－１６,,080-55982120,,提供中,2019/5/1,営利法人,合同会社こころ,北海道札幌市豊平区,西岡２条１丁目２番４８－４０５号,,5,外部サービス利用型
0124602186,共同生活援助,ケアホームおびひろ栄,0800046,北海道帯広市,西十六条北１丁目１３番地９９,,0155-36-5020,0155-36-5030,提供中,2019/4/1,営利法人,帯広ライフケアサービス　株式会社,北海道帯広市,西十六条北１丁目１３番地９９,,6,外部サービス利用型
0122909070,共同生活援助,いちもくガーデンカムイ,0708012,北海道旭川市,神居２条９丁目２番６号,,0166-76-1765,0166-76-1765,提供中,2019/4/1,社会福祉法人（社協以外）,社会福祉法人いちもく会,北海道旭川市,南５条通２２丁目１９７５番地３２６,,10,介護サービス包括型
0121001432,共同生活援助,グループホーム　松ぼっくり,0690813,北海道江別市,野幌町８番地１５,,011-887-8250,011-887-8251,提供中,2019/4/1,医療法人,医療法人　風のすずらん会,北海道江別市,上江別４４２番１５,,15,外部サービス利用型
0120901137,共同生活援助,グループホーム清田３条ファミリーユ,0040843,北海道札幌市清田区,清田３条３丁目５－３,,090-33979597,,提供中,2019/4/1,非営利法人（ＮＰＯ）,特定非営利活動法人　コラボ・ネットワーク,北海道北広島市,稲穂町西２丁目１番地３,,6,介護サービス包括型
0123602419,共同生活援助,ファミリーライフ宮前,0591264,北海道苫小牧市,宮前町2丁目9番2号,,0144-84-5833,0144-84-5833,休止,2020/9/15,営利法人,有限会社　大有,北海道苫小牧市,宮前町2丁目9番2号,,6,介護サービス包括型
0120700901,共同生活援助,コローレ山の手,0630004,北海道札幌市西区,山の手４条６丁目３－２５,,011-644-2111,011-644-2111,提供中,2019/4/1,医療法人,医療法人　耕仁会,北海道札幌市西区,山の手５条５丁目１番１号,,9,日中サービス支援型
0125701037,共同生活援助,障害者グループホーム　イランカラプテ,0680833,北海道岩見沢市,志文町３１９番地２３,,0126-23-1111,0126-22-5638,提供中,2019/2/27,社会福祉法人（社協以外）,社会福祉法人　クピド・フェア,北海道岩見沢市,志文町３０１番地,,10,介護サービス包括型
0120204458,共同生活援助,グループホーム　ステアーズ,0010024,北海道札幌市北区,北２４条西２丁目３－１５,,011-788-7086,0503156-1271,提供中,2019/1/1,営利法人,株式会社よねたや,北海道札幌市北区,拓北六条２丁目７番１４号,,8,介護サービス包括型
0124300724,共同生活援助,そえるつるい,0851203,北海道阿寒郡鶴居村,鶴居西8丁目13番地,,0154-64-2824,,提供中,2018/12/28,医療法人,医療法人　資生会,北海道千歳市,桂木１丁目5番6号,,6,外部サービス利用型
0124101973,共同生活援助,グループホーム・アルケー,0850034,北海道釧路市,白金町2番14号,,0154-23-6227,,提供中,2018/12/28,医療法人,医療法人　資生会,北海道千歳市,桂木１丁目5番6号,,9,介護サービス包括型
0121402150,共同生活援助,セルフサポート高砂通り,0400032,北海道函館市,新川町17番7号,,0138-86-6860,0138-86-6870,提供中,2018/12/1,営利法人,株式会社　ネクストベース,北海道函館市,新川町17番7号,,20,介護サービス包括型
0120204433,共同生活援助,わおんグループホーム新琴似,0010901,北海道札幌市北区,新琴似1条3丁目2番7号,,011-299-8585,011-299-8585,提供中,2018/12/1,営利法人,株式会社わおん北海道,北海道札幌市中央区,北１条西２３丁目１番４７号,円山シャトー桂和３０１号室,28,介護サービス包括型
0120204409,共同生活援助,グループホーム　シンセラティー,0010027,北海道札幌市北区,北２７条西２丁目２番１号,ベルルネサンス北２７条１０６号,011-788-2127,011-788-2127,提供中,2018/12/1,営利法人,株式会社　ドールズ,北海道札幌市北区,北二十七条西２丁目２－１－１０６,,10,介護サービス包括型
0124702283,共同生活援助,ぬくもりハウス,0800317,北海道河東郡音更町,緑陽台仲区３５番１,,0155-65-0222,0155-65-0223,提供中,2018/11/1,社団・財団,一般社団法人　ウォームす,北海道帯広市,西十二条南１７丁目３番地,,11,介護サービス包括型
0120204383,共同生活援助,グループホーム　グリーンティー,0010045,北海道札幌市北区,麻生町７丁目３番１１号,,090-52223314,011-827-8861,提供中,2018/11/1,営利法人,株式会社　アイテラス,北海道札幌市白石区,東札幌２条６丁目１番１１号,,4,介護サービス包括型
0122908981,共同生活援助,フレディ,0718134,北海道旭川市,末広４条１丁目２番１８号,,0166-73-9419,0166-73-9419,提供中,2018/10/1,営利法人,株式会社ローフ,北海道旭川市,末広５条６丁目１０番４号,,7,介護サービス包括型
0120700828,共同生活援助,ｍａｋｉ　ＨＯＵＳＥ,0630814,北海道札幌市西区,琴似４条２丁目３－２６,,011-213-7873,011-213-7711,提供中,2018/10/1,営利法人,株式会社　和,北海道札幌市中央区,南１条西１８丁目１－２－３０１,,12,介護サービス包括型
0120506092,共同生活援助,グループホームエース,0620053,北海道札幌市豊平区,月寒東３条３丁目２－２０,ステージイン３３　１０２号,011-867-9067,011-867-9068,提供中,2018/10/1,営利法人,合同会社Ｔｏｔａｌ　Ｖｉｓｉｏｎ,北海道札幌市白石区,中央２条６丁目６番１５－２０５号,,18,介護サービス包括型
0120204367,共同生活援助,グループホーム　ＬＯＨＡＳ,0010045,北海道札幌市北区,麻生町７丁目３－１１－４１１,,080-96155576,011-826-6732,提供中,2018/10/1,営利法人,合同会社　ヒューマンパワー,北海道札幌市東区,北十条東１２丁目２－１１,,8,介護サービス包括型
0125001545,共同生活援助,グループホーム　北の宿,0900016,北海道北見市,大町114番地2,,0157-33-3166,0157-33-3168,提供中,2018/9/1,営利法人,株式会社　タクマ,北海道北見市,大町56番地8,,14,介護サービス包括型
0120901061,共同生活援助,あいほーむ,0620055,北海道札幌市豊平区,月寒東五条１８丁目２－３８,,011-299-3081,011-299-3082,提供中,2018/9/1,営利法人,株式会社　アクティックイメージング,北海道札幌市西区,琴似四条１丁目１番１号,,28,介護サービス包括型
0120901046,共同生活援助,グループホーム里塚ファミリーユ,0040803,北海道札幌市清田区,里塚３条１丁目１５－１５,,011-807-0151,011-807-0152,提供中,2018/9/1,非営利法人（ＮＰＯ）,特定非営利活動法人　コラボ・ネットワーク,北海道北広島市,稲穂町西２丁目１番地３,,10,介護サービス包括型
0120600721,共同生活援助,ハイタッチ,0050004,北海道札幌市南区,澄川4条1丁目2-41,,011-223-7553,011-223-0102,提供中,2018/8/1,社団・財団,一般社団法人　障がい者総合支援協会,北海道札幌市中央区,南2条東2丁目8-1大都ビル7Ｆ,,15,介護サービス包括型
0120600713,共同生活援助,グループホーム　あさがお,0050003,北海道札幌市南区,澄川三条３丁目１－５,澄川銀座パレス３０２号,011-583-0101,011-823-7758,提供中,2018/8/1,営利法人,合同会社　でわかサービス,北海道札幌市豊平区,西岡５条１５丁目３番２１号,,23,介護サービス包括型
0120506084,共同生活援助,グループホーム　スペロ平岸,0620934,北海道札幌市豊平区,平岸4条8丁目4番24号スペロ平岸,,011-826-5506,011-826-5510,提供中,2018/8/1,社会福祉法人（社協以外）,社会福祉法人　ろく舎,北海道札幌市中央区,南１条西１０丁目４番地,タイムビル４Ｆ,7,外部サービス利用型
0120403951,共同生活援助,グループホーム　えみらい,0030023,北海道札幌市白石区,南郷通１丁目北９番１６－４０２号,,050-35772526,011-351-2646,提供中,2018/8/1,営利法人,合同会社　笑来,北海道札幌市白石区,南郷通１丁目北９番１６－４０２号,,14,介護サービス包括型
0120204292,共同生活援助,グループホーム　らら,0028029,北海道札幌市北区,篠路９条３丁目２番２号,,011-555-5867,011-557-6421,提供中,2018/8/1,非営利法人（ＮＰＯ）,特定非営利活動法人　在宅介護サービス　いきいき東,北海道札幌市東区,北２７条東２２丁目３番１６号,,5,外部サービス利用型
0120600697,共同生活援助,グループホーム　リバーサイド真駒内,0050022,北海道札幌市南区,真駒内柏丘３丁目１番３３号,,011-588-6363,011-588-6364,提供中,2018/7/1,非営利法人（ＮＰＯ）,特定非営利活動法人　プラネット,北海道札幌市中央区,南１条西１０丁目４番地,タイムビル４階,6,外部サービス利用型
0120600671,共同生活援助,グループホーム空ら,0612283,北海道札幌市南区,藤野３条１１丁目１０番２５号,,011-213-1630,011-213-1630,提供中,2018/7/1,社会福祉法人（社協以外）,社会福祉法人　光の森学園,北海道札幌市中央区,盤渓２５９番地の５,,37,日中サービス支援型
0120506027,共同生活援助,グループホーム　リバー中の島,0620921,北海道札幌市豊平区,中の島１条８丁目１番２号　,リバー中の島,011-817-0778,011-826-3009,提供中,2018/7/1,非営利法人（ＮＰＯ）,特定非営利活動法人　プラネット,北海道札幌市中央区,南１条西１０丁目４番地,タイムビル４階,5,外部サービス利用型
0120506019,共同生活援助,グループホーム　マザーズⅡ,0620922,北海道札幌市豊平区,中の島２条２丁目１－２０,エスポアールハイツ１０２号,011-598-8510,011-598-8252,提供中,2018/7/1,営利法人,株式会社マザーズ,北海道札幌市中央区,大通西１７丁目１番６３－３０１号,,7,外部サービス利用型
0120403944,共同生活援助,グループホーム　フェアフィールド白石,0030024,北海道札幌市白石区,本郷通６丁目南２－２１　,２階　フェアフィールド白石,011-826-3711,011-826-3728,提供中,2018/7/1,非営利法人（ＮＰＯ）,特定非営利活動法人　プラネット,北海道札幌市中央区,南１条西１０丁目４番地,タイムビル４階,7,外部サービス利用型
0120301239,共同生活援助,グループホーム　アルカディア３３,0650033,北海道札幌市東区,北３３条東１５丁目４番７号　,アルカディア３３,011-748-7336,011-721-1670,提供中,2018/7/1,非営利法人（ＮＰＯ）,特定非営利活動法人　プラネット,北海道札幌市中央区,南１条西１０丁目４番地,タイムビル４階,7,外部サービス利用型
0120901012,共同生活援助,はないえ,0060019,北海道札幌市手稲区,富丘５条７丁目６番６号,,011-681-1335,011-699-5755,提供中,2018/6/1,営利法人,株式会社　COLORS,北海道札幌市手稲区,前田１０条１３丁目１番２２号,,10,日中サービス支援型
0120505995,共同生活援助,グループホーム　ノースランド豊平,0620902,北海道札幌市豊平区,豊平２条１丁目１番２９号,ノースランド豊平,011-825-0112,011-827-1172,提供中,2018/6/1,社会福祉法人（社協以外）,社会福祉法人　ろく舎,北海道札幌市中央区,南１条西１０丁目４番地,タイムビル４Ｆ,7,外部サービス利用型
0120403886,共同生活援助,グループホーム　アーバン本郷,0030024,北海道札幌市白石区,本郷通８丁目南２－２４,,011-863-2226,011-827-1186,提供中,2018/6/1,社会福祉法人（社協以外）,社会福祉法人　ろく舎,北海道札幌市中央区,南１条西１０丁目４番地,タイムビル４Ｆ,7,外部サービス利用型
0120204250,共同生活援助,グループホーム　らいとテラス,0010933,北海道札幌市北区,新川西３条２丁目６－１８,,011-374-7001,011-374-7002,提供中,2018/6/1,営利法人,株式会社　北海道ケア・サポート,北海道札幌市西区,山の手三条１丁目２番３０－１３０１号,,15,介護サービス包括型
0124702226,共同生活援助,アクシス,0890543,北海道中川郡幕別町,札内中央町３１９番地の４８,,0155-66-4681,0155-66-4682,提供中,2018/5/16,営利法人,株式会社　ミラータイム,北海道中川郡幕別町,札内中央町３１９番地の４８,,19,日中サービス支援型
0121001366,共同生活援助,フィオーレ江別,0690834,北海道江別市,文京台東町１１番１２号,,011-387-5200,011-387-5200,提供中,2018/5/1,営利法人,株式会社リーベ,北海道札幌市白石区,栄通１０丁目１番２９号,,18,介護サービス包括型
0125700989,共同生活援助,ホープ,0680808,北海道岩見沢市,南町八条2丁目3番17号,,0126-35-4444,0126-354464,提供中,2018/4/25,非営利法人（ＮＰＯ）,特定非営利活動法人ジパング,北海道札幌市中央区,宮の森三条７丁目１番40-106号,,4,介護サービス包括型
0127100667,共同生活援助,共同生活援助事業所　ぴあねっと,0731103,北海道樺戸郡新十津川町,中央18番地19,,0125-74-6502,0125-74-6503,提供中,2018/4/16,非営利法人（ＮＰＯ）,特定非営利活動法人新十津川ぴあネットワーク,北海道樺戸郡新十津川町,中央7番地11,,9,介護サービス包括型
0125100396,共同生活援助,あかり,0940007,北海道紋別市,落石町４丁目６番９号,,0158-23-0075,0158-23-0075,提供中,2018/4/1,非営利法人（ＮＰＯ）,特定非営利活動法人　マリンネット,北海道紋別市,落石町４丁目６番９号,,10,介護サービス包括型
0123602211,共同生活援助,地域生活支援センターらいふ,0530831,北海道苫小牧市,豊川町３丁目２６番地１１号,,0144-71-3340,0144-71-3340,提供中,2018/4/1,非営利法人（ＮＰＯ）,特定非営利活動法人　苫小牧市手をつなぐ育成会,北海道苫小牧市,日の出町２丁目８番２３号,,7,介護サービス包括型
0121700348,共同生活援助,グループホーム　らいふ,0494308,北海道瀬棚郡今金町,今金303番地1の内,,0137-83-8898,0137-83-8898,提供中,2018/4/1,社会福祉法人（社協以外）,社会福祉法人　光の里,北海道瀬棚郡今金町,字神丘912番地の11,,10,介護サービス包括型
0121501456,共同生活援助,ケアホーム湯ノ里,0491221,北海道上磯郡知内町,湯ノ里242-133,,01392-5-7575,,提供中,2018/4/1,社会福祉法人（社協以外）,社会福祉法人　あすなろ福祉会,北海道檜山郡江差町,字豊川町62-2,,48,介護サービス包括型
0120900931,共同生活援助,グループホーム　まちかど,0040865,北海道札幌市清田区,北野５条４丁目１９番２１号,,011-885-8172,011-885-8172,提供中,2018/4/1,営利法人,合同会社　ＡＩＤ　ＯＮＥ,北海道札幌市清田区,北野５条４丁目１９番２１号,,11,外部サービス利用型
0120600622,共同生活援助,障がい者グループホームふらっとほーむ,0050004,北海道札幌市南区,澄川四条４丁目１１－２－１,,011-595-7715,011-595-7714,提供中,2018/4/1,営利法人,株式会社３ｅｅｅ,北海道江別市,東野幌本町７番５号,,27,介護サービス包括型
0120301130,共同生活援助,あおぞら,0650019,北海道札幌市東区,北１９条東５丁目１－２７,,011-788-5028,011-788-5029,提供中,2018/4/1,社会福祉法人（社協以外）,社会福祉法人　朔風,北海道札幌市中央区,南１９条西８丁目６０７－７,,16,日中サービス支援型
0123100737,共同生活援助,あえる,0711426,北海道上川郡東川町,北町4丁目12番17号,,0166-85-6518,0166-85-6536,提供中,2018/3/28,営利法人,株式会社　ＣＬＯＶＥＲ,北海道上川郡東川町,西町２丁目１０番６号,,7,介護サービス包括型
0122001183,共同生活援助,エーアイメゾン,0470024,北海道小樽市,花園３丁目１４番１１号,,0134-33-8109,0134-33-8107,提供中,2018/3/15,営利法人,マルヨ栄愛株式会社,北海道小樽市,花園３丁目４番６号,,6,介護サービス包括型
0120403712,共同生活援助,グループホーム　こころや,0040843,北海道札幌市清田区,清田三条1丁目６－２７,セントラルハイツⅡ,011-856-2911,011-856-2912,提供中,2018/3/1,社団・財団,一般社団法人　和心,北海道札幌市豊平区,月寒東三条19丁目1番50号,,6,介護サービス包括型
0124602038,共同生活援助,グループホーム　ステラ,0802476,北海道帯広市,自由が丘７丁目２－２,,0155-99-1082,0155-99-1082,提供中,2018/2/16,営利法人,株式会社　つながり,北海道帯広市,西四条南５丁目２番地５,,21,介護サービス包括型
0124602020,共同生活援助,グループホーム　ゆい,0800802,北海道帯広市,東二条南２９丁目２番２５,ＴＯＷＮ東２南２９　Ｋ＆Ｋ　Ａ棟,0155-66-7513,0155-66-9627,提供中,2018/2/14,営利法人,合同会社　ゆい,北海道帯広市,東二条南２９丁目２番２５,ＴＯＷＮ東２南２９　Ｋ＆Ｋ　Ａ棟,12,介護サービス包括型
0125800565,共同生活援助,ＹＵＮＩ-ＨＯＵＳＥ,0691203,北海道夕張郡由仁町,東栄16番地11,,0123-76-7556,,提供中,2018/2/1,営利法人,株式会社　ドン・リースアンドレンタル,北海道札幌市北区,北二十六条西４丁目22番,,8,介護サービス包括型
0120505904,共同生活援助,ぽぷらほーむ,0620932,北海道札幌市豊平区,平岸２条３丁目１番６号,クリスタルハイツ,080-60847575,050-34884059,提供中,2018/2/1,営利法人,合同会社　未来開,北海道札幌市南区,川沿１２条１丁目２番１９号,,11,介護サービス包括型
0120204177,共同生活援助,グループホーム　なんもさホワイト,0010023,北海道札幌市北区,北２３条西５丁目１番１５号,Ａ・１番１４号Ｂ,011-757-2920,011-788-3960,提供中,2018/2/1,営利法人,合同会社TMS,北海道札幌市北区,北２３条西５丁目１番５号,コンフォートＮ２３　１階,40,介護サービス包括型
0120103296,共同生活援助,グループホーム　タンポポ苑,0640926,北海道札幌市中央区,南２６条西１４丁目１番３号,,011-206-6778,011-563-2343,提供中,2018/2/1,非営利法人（ＮＰＯ）,特定非営利活動法人　札幌市福祉生活支援センター,北海道札幌市北区,北２１条西３丁目１－１２,,5,外部サービス利用型
0124101791,共同生活援助,グループホームいまい,0850803,北海道釧路市,益浦3丁目21番3号,,0154-65-7097,0154-65-7098,提供中,2018/1/1,営利法人,株式会社いまい,北海道釧路市,芦野5丁目28番4号,,9,日中サービス支援型
0123500746,共同生活援助,いぶり花づくりネットワーク,0590026,北海道登別市,若山町２丁目20番地１,,0143-83-6223,0143-83-6223,提供中,2018/1/1,営利法人,一般社団法人　いぶり花づくりネットワーク,北海道登別市,若山町２丁目２０番地１,,7,外部サービス利用型
0120900899,共同生活援助,グループホーム清田ファミリーユ,0040842,北海道札幌市清田区,清田２条１丁目１６番２２号,,011-377-7736,011-378-6069,提供中,2018/1/1,非営利法人（ＮＰＯ）,特定非営利活動法人　コラボ・ネットワーク,北海道北広島市,稲穂町西２丁目１番地３,,10,介護サービス包括型
0124101783,共同生活援助,ケアホーム　トーロ,0840907,北海道釧路市,鳥取北9丁目9番16号,,0154-65-1600,0154-65-1601,提供中,2017/12/20,営利法人,株式会社　ピッチ＆パッチ,北海道釧路郡釧路町,睦３丁目３番地１,,20,日中サービス支援型
0127400430,共同生活援助,グループホーム心空,0782101,北海道雨竜郡秩父別町,2078番地の18,,0164-34-5401,0164-34-5402,提供中,2017/12/1,非営利法人（ＮＰＯ）,特定非営利活動法人　みらいのそら,北海道雨竜郡秩父別町,2078番地の18,,10,介護サービス包括型
0123800815,共同生活援助,共同生活援助事業所る～ちぇ,0560025,北海道日高郡新ひだか町,静内木場町１丁目１－５９,,0146-49-0118,,提供中,2017/11/10,営利法人,株式会社　田舎力,北海道日高郡新ひだか町,静内旭町１丁目２６－９,,18,介護サービス包括型
0125800557,共同生活援助,グループホーム　やさしい家族,0691512,北海道夕張郡栗山町,松風2丁目261-1,,0123-76-7802,0123-76-7802,提供中,2017/11/1,非営利法人（ＮＰＯ）,特定非営利活動法人　ハッピータウン,北海道夕張郡栗山町,松風2丁目120番地11,,4,介護サービス包括型
0123500738,共同生活援助,フィオーレ登別,0590023,北海道登別市,桜木町5丁目12番30,,0143-85-5080,0143-85-5080,提供中,2017/11/1,営利法人,株式会社　リーベ,北海道札幌市白石区,栄通10丁目1番29号,,16,介護サービス包括型
0122908890,共同生活援助,晴れるやホーム,0718133,北海道旭川市,末広３条４丁目１１番１５号,,0166-51-6530,0166-73-8734,提供中,2017/11/1,非営利法人（ＮＰＯ）,特定非営利活動法人　晴れるや,北海道旭川市,末広３条４丁目１１番１５号,,4,介護サービス包括型
0122908874,共同生活援助,グループホーム　からぴ,0788235,北海道旭川市,豊岡５条５丁目３番１８号,,0166-73-3313,0166-73-3313,提供中,2017/11/1,非営利法人（ＮＰＯ）,特定非営利活動法人　ＣＯＬＯＲ ＰＩＥＣＥ,北海道旭川市,神楽岡１６条４丁目４番３号,,6,介護サービス包括型
0121001341,共同生活援助,グループホーム　アニズルーム,0690834,北海道江別市,文京台東町６－２,,011-376-0293,011-376-0293,提供中,2017/11/1,営利法人,合同会社一番星,北海道江別市,文京台東町６番地１,,9,介護サービス包括型
0120700711,共同生活援助,ＧＨぱんけの森,0630012,北海道札幌市西区,福井８丁目３番１２号,,011-215-5612,,提供中,2017/11/1,社会福祉法人（社協以外）,社会福祉法人　光の森学園,北海道札幌市中央区,盤渓２５９番地の５,,147,日中サービス支援型
0120301031,共同生活援助,みらい,0650041,北海道札幌市東区,本町一条９丁目２－２５,ハーモパレス札幌４０１号,011-787-6565,011-787-6565,提供中,2017/11/1,営利法人,合同会社　みらいリレーションズ,神奈川県川崎市宮前区,鷺沼２丁目１４番地１３０,,24,介護サービス包括型
0120103213,共同生活援助,リエゾン,0600042,北海道札幌市中央区,大通西１７丁目２－３０,メゾンドセピア１０１号,011-623-2255,011-623-2257,提供中,2017/11/1,営利法人,ＨＲエデュケーション株式会社,北海道札幌市中央区,旭ケ丘５丁目２－２,,41,介護サービス包括型
0124101767,共同生活援助,グループホームほたる,0850058,北海道釧路市,愛国東4丁目12番10号,,0154-64-2066,0154-64-2066,提供中,2017/10/1,非営利法人（ＮＰＯ）,特定非営利活動法人　生活学舎のんき,北海道阿寒郡鶴居村,鶴居東四丁目１７番地１,,5,介護サービス包括型
0120505854,共同生活援助,自立生活支援　えにし,0620907,北海道札幌市豊平区,豊平７条８丁目１番１６号,,011-799-0025,011-799-0026,提供中,2017/10/1,営利法人,ブラマンダ株式会社,北海道札幌市豊平区,豊平７条８丁目１番１６号,,9,介護サービス包括型
0121001325,共同生活援助,グループホームきずな寿,0690802,北海道江別市,野幌寿町１４－１７,,011-557-6203,,提供中,2017/9/1,営利法人,合同会社きずな,北海道江別市,緑町東１丁目６７番地,,11,介護サービス包括型
0121501407,共同生活援助,グループホームけやき,0411231,北海道北斗市,向野１丁目,15番18号,0138-77-7718,,提供中,2017/8/17,社会福祉法人（社協以外）,社会福祉法人　道南福祉ねっと,北海道亀田郡七飯町,本町4丁目20番2号,,31,介護サービス包括型
0124601964,共同生活援助,ホームハーモニー,0802474,北海道帯広市,西二十四条南１丁目４３－２６,,0155-66-6894,0155-66-6895,提供中,2017/7/27,営利法人,株式会社　ｍａｉハーモニー,北海道帯広市,西四条南２８丁目２番地４,,18,外部サービス利用型
0120403548,共同生活援助,グループホーム　シャイン,0030021,北海道札幌市白石区,栄通１７丁目６－１,パルコート南郷３０１号,011-858-9000,011-858-9001,提供中,2017/7/13,営利法人,株式会社　シャイン,北海道札幌市白石区,栄通１７丁目６－１,パルコート南郷３０１号,15,外部サービス利用型
0120900782,共同生活援助,シェアハウス,0060819,北海道札幌市手稲区,前田９条１４丁目２番１７号,,011-215-4499,011-215-4490,提供中,2017/7/7,営利法人,株式会社　ユメトキボウ,北海道札幌市手稲区,前田５条６丁目３－１２,,19,外部サービス利用型
0120403530,共同生活援助,グループホームあそーとⅡ,0030871,北海道札幌市白石区,米里１条３丁目１１－１２,,011-867-0941,011-867-0943,提供中,2017/7/1,非営利法人（ＮＰＯ）,特定非営利活動法人　陽だまり,北海道札幌市白石区,菊水９条３丁目４－１３,,10,介護サービス包括型
0120600531,共同生活援助,グループホームあーす,0612285,北海道札幌市南区,藤野５条２丁目１０番１号,,011-594-5550,011-594-5553,提供中,2017/6/8,営利法人,合同会社　アプレイズ,北海道札幌市南区,澄川４条２丁目１１番３６号,,4,介護サービス包括型
