申請者－法人種別,申請者－名称,申請者－郵便番号,申請者－住所,,申請者－電話番号,事業所－名称,事業所－郵便番号,事業所－地域,事業所－住所,事業所－電話番号,ｻｰﾋﾞｽ種類,事業所番号,指定年月日
非営利法人（ＮＰＯ）,特定非営利活動法人あん福祉会,1840004,東京都小金井市,本町３－８－１　第二佐藤ビル１階,042-385-1126,あんホーム,1840004,東京都小金井市,＊,042-385-2346,共同生活援助,1323300010,2007/1/1
社会福祉法人（社協以外）,社会福祉法人時の会,2060033,東京都多摩市,落合３－１７－１－１０１,042-389-6339,｢ふぁみりあ｣,2060033,東京都多摩市,落合４－３－５－１０６,042-338-4666,共同生活援助,1324700010,2007/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人ひまわり惠の会,1360074,東京都江東区,東砂３－８－１０,03-5653-0503,ひまわりの家,1360074,東京都江東区,東砂６－４－１１,03-5653-0509,共同生活援助,1320800012,2007/3/1
社会福祉法人（社協以外）,社会福祉法人あだちの里,1210813,東京都足立区,竹の塚７－１９－７,03-5831-1721,あだちの里東ホーム,1200003,東京都足立区,東和４－８－９,03-5831-1801,共同生活援助,1322100023,2007/3/1
社会福祉法人（社協以外）,社会福祉法人ゆめグループ福祉会,1360073,東京都江東区,北砂１－１４－４,03-3644-6773,いぶき寮,1350051,東京都江東区,枝川１－８－１５－７１４、９０４,03-3649-6347,共同生活援助,1320800020,2007/4/1
営利法人,株式会社静文堂,1350011,東京都江東区,扇橋２－１３－６,03-5632-4805,花だより,1350011,東京都江東区,扇橋２－１３－６,03-5857-5086,共同生活援助,1320800038,2007/4/1
営利法人,有限会社それいゆ,1400013,東京都品川区,南大井３－２０－１４　大森ヒラノビル,03-5753-8260,かもめハウス,1400013,東京都品川区,＊,03-5753-8260,共同生活援助,1320900010,2007/4/1
社会福祉法人（社協以外）,社会福祉法人中野あいいく会,1640001,東京都中野区,中野１－６－１２,03-3371-5231,あいいく中野坂上の家,1640012,東京都中野区,本町１－３０－８,03-3370-9588,共同生活援助,1321400010,2007/4/1
社会福祉法人（社協以外）,社会福祉法人フロンティア,1710014,東京都豊島区,池袋４－２９－６　アクシア池袋２０４,03-5949-5995,グループホーム長崎いずみの郷,1710051,東京都豊島区,長崎４－４５－６,03-5917-6217,共同生活援助,1321600015,2007/4/1
非営利法人（ＮＰＯ）,特定非営利法人心の会ピュア,1140031,東京都北区,十条仲原２－９－１　メゾン・ド・リュミエール１Ａ,03-5963-6901,特定非営利法人心の会ピュア「ひかりハウス」,1140031,東京都北区,十条仲原２－９－１－１Ａ,03-5963-6901,共同生活援助,1321700013,2007/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人板橋区ともに生きる福祉連絡会,1730013,東京都板橋区,仲宿２９－６,03-3962-1314,三丁目若葉寮,1730004,東京都板橋区,板橋３－３１－７,03-3579-8827,共同生活援助,1321900019,2007/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人共生ネットワーク,1760002,東京都練馬区,桜台５－４１－３－１０６,03-3917-0340,アップルホーム,1760002,東京都練馬区,＊,03-3948-7705,共同生活援助,1322000017,2007/4/1
社会福祉法人（社協以外）,社会福祉法人あかねの会,1790074,東京都練馬区,春日町１－１８－３６,03-3577-7421,練馬東,1760002,東京都練馬区,桜台４－１５－７,03-3557-3323,共同生活援助,1322000025,2007/4/1
社会福祉法人（社協以外）,社会福祉法人もくば会,1930944,東京都八王子市,館町２８３７,042-629-9098,グッドフェロー,1920153,東京都八王子市,西寺方町１０９０－１,042-651-8231,共同生活援助,1322400035,2007/4/1
その他法人,学校法人武蔵野東学園,1800012,東京都武蔵野市,緑町２－１－１０,0422-52-2211,友愛寮,1800012,東京都武蔵野市,緑町２－１－１０,0422-53-7711,共同生活援助,1322600014,2007/4/1
社会福祉法人（社協以外）,社会福祉法人清瀬わかば会,2040004,東京都清瀬市,野塩４－５９－８,042-494-1143,わかばの家,2040004,東京都清瀬市,野塩４－３７－４,042-497-9891,共同生活援助,1324400017,2007/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人はな,1920361,東京都八王子市,越野３５９－１,042-683-1055,コスモス,1920912,東京都八王子市,絹ケ丘３－４５－５,042-683-1055,共同生活援助,1322400043,2007/6/1
非営利法人（ＮＰＯ）,特定非営利活動法人わらく,1680065,東京都杉並区,浜田山３－６－２２－３０５号,03-5913-9231,私の家せつ,1680072,東京都杉並区,高井戸東３－１６－１３,03-5346-0334,共同生活援助,1321500025,2007/9/1
非営利法人（ＮＰＯ）,特定非営利活動法人あるが,1930844,東京都八王子市,高尾町１１１５－１　ハタノコーポ２０２号,042-629-9061,あるが荘,1930841,東京都八王子市,＊,042-663-9171,共同生活援助,1322400316,2007/9/1
非営利法人（ＮＰＯ）,特定非営利活動法人沙らの木,1460094,東京都大田区,東矢口３－１５－２４,03-3737-9190,ホーム・サラ,1440051,東京都大田区,＊,03-5747-5315,共同生活援助,1321100040,2007/10/1
社会福祉法人（社協以外）,社会福祉法人うるおいの里,1570061,東京都世田谷区,北烏山１－８－２　ＮＴＫビル２階,03-3305-3535,グループホームちぐさ,1570062,東京都世田谷区,＊,03-6658-4920,共同生活援助,1321200014,2007/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人ゆうらんせん,2070015,東京都東大和市,中央２－１１０１－４３　中央コーポ１０５,042-565-8981,だんでらいおん,2070015,東京都東大和市,中央２－１１０１－４３　中央コーポ１階,042-565-8981,共同生活援助,1324300043,2007/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人Ｐippi,2020015,東京都西東京市,保谷町５－６－２１－２１３,042-450-1139,ピッピ,2020015,東京都西東京市,保谷町５－６－２１－３１８,042-450-1139,共同生活援助,1323900017,2008/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人Ｆｉｌｏ,2060033,東京都多摩市,落合１－３－７　ハルシオンコート２０２,042-338-1919,共同生活支援事業部,2060033,東京都多摩市,落合１－１７－１０,042-339-2111,共同生活援助,1324700028,2008/2/1
社会福祉法人（社協以外）,社会福祉法人章佑会,1780061,東京都練馬区,大泉学園町７－１２－３０,03-5387-5577,やすらぎガーデン・石神井台,1770045,東京都練馬区,石神井台６－１３－２,03-3928-3315,共同生活援助,1322000041,2008/3/1
非営利法人（ＮＰＯ）,特定非営利活動法人共生ネットワーク,1760002,東京都練馬区,桜台５－４１－３－１０６,03-3917-0340,オレンジホーム,1700013,東京都豊島区,＊,03-5969-8434,共同生活援助,1321600031,2008/4/1
社会福祉法人（社協以外）,社会福祉法人同愛会,2400051,神奈川県横浜市保土ケ谷区,上菅田町金草沢１７４９,045-373-9961,東大泉ハイム,1780063,東京都練馬区,東大泉６－１６－１５,03-6794-2784,共同生活援助,1322000058,2008/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人だれもがともに小平ネットワーク,1870042,東京都小平市,仲町２６９－１　,042-308-3732,ともにネットのグループホーム,1870035,東京都小平市,小川西町１－８－２０,042-308-3732,共同生活援助,1323400034,2008/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人八丈島ロベの会,1001511,東京都八丈島八丈町,三根２－１,04996-2-5079,フェニックスホーム,1001511,東京都八丈島八丈町,＊,04996-2-5471,共同生活援助,1326200019,2008/4/1
社会福祉法人（社協以外）,社会福祉法人日野青い鳥福祉会,1910054,東京都日野市,東平山３－１－２７,042-584-2560,ケアホーム青い鳥,1910055,東京都日野市,西平山３－１８－１,042-583-6570,共同生活援助,1323500015,2008/5/1
非営利法人（ＮＰＯ）,特定非営利活動法人ハートフィールド,1880011,東京都西東京市,田無町３－３－７　海老沢第１ビル８０１号,042-468-3061,グループホームわんど,1880012,東京都西東京市,＊,042-452-8181,共同生活援助,1323900108,2008/7/1
非営利法人（ＮＰＯ）,特定非営利活動法人東京福祉協議会,1760002,東京都練馬区,桜台１－１２－２,03-3991-0593,グループホーム石神井台,1770045,東京都練馬区,石神井台５－８－７,03-6794-1072,共同生活援助,1322000066,2008/10/1
医療法人,医療法人財団厚生協会,1710021,東京都豊島区,西池袋１－１０－２,03-3883-6331,ねくすと西大泉,1780065,東京都練馬区,＊,03-6904-6087,共同生活援助,1322000074,2008/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人幸生会,1140002,東京都北区,王子１－１４－１６　プレド王子３０１,03-6915-4047,志茂寮,1150042,東京都北区,志茂１－２７－１０,03-3598-0526,共同生活援助,1321700021,2008/11/1
非営利法人（ＮＰＯ）,特定非営利活動法人友訪,2020005,東京都西東京市,住吉町６－１１－１６,042-438-0091,グループホームもやい,2020001,東京都西東京市,＊,042-438-0091,共同生活援助,1323900116,2008/11/1
社会福祉法人（社協以外）,社会福祉法人同愛会,2400051,神奈川県横浜市保土ケ谷区,上菅田町金草沢１７４９,045-373-9661,仲宿ハイム,1730005,東京都板橋区,仲宿３９－７　リカーズビル２０２号,03-5375-1140,共同生活援助,1321900027,2008/12/1
社会福祉法人（社協以外）,社会福祉法人はる,1580082,東京都世田谷区,等々力２－３６－２　エクセル等々力２０１号室,03-6411-6323,はるの邑,1580082,東京都世田谷区,＊,03-3705-3147,共同生活援助,1321200022,2009/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人すばる会,1650033,東京都中野区,若宮１－５４－１５,03-3339-6541,六ッ星,1650034,東京都中野区,＊,03-3310-8410,共同生活援助,1321400101,2009/1/1
社会福祉法人（社協以外）,社会福祉法人東京コロニー,1650023,東京都中野区,江原町２－６－７,03-3952-6166,中野第二江原寮,1650023,東京都中野区,江原町３－２３－２,03-6915-3552,共同生活援助,1321400119,2009/2/1
非営利法人（ＮＰＯ）,特定非営利活動法人多摩在宅支援センター円,1860003,東京都国立市,富士見台１－２５－２１　櫻の杜ハウス２０５号室,042-548-0263,グループホームくぬぎの杜,1930942,東京都八王子市,＊,042-673-7606,共同生活援助,1322400357,2009/2/1
社会福祉法人（社協以外）,社会福祉法人墨田さんさん会,1310043,東京都墨田区,立花４－３０－１６,03-5631-3305,ほーむ大洋,1310031,東京都墨田区,墨田２－１２－１１,03-6657-2262,共同生活援助,1320700014,2009/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人あさのはネットワーク,1510073,東京都渋谷区,笹塚３－４８－１－１号棟,03-3376-8924,初台寮,1510071,東京都渋谷区,本町２－３２－１０,03-5350-4370,共同生活援助,1321300046,2009/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人カサ　デ　オリーバ,1640012,東京都中野区,本町５－３５－９,03-5340-8898,オリーバ,1640012,東京都中野区,＊,03-5340-8898,共同生活援助,1321400127,2009/4/1
社会福祉法人（社協以外）,社会福祉法人杉並希望の家,1680082,東京都杉並区,久我山５－３６－１７,03-3335-3774,希望ホーム,1680082,東京都杉並区,久我山３－４－１１,03-3335-3774,共同生活援助,1321500223,2009/4/1
社会福祉法人（社協以外）,社会福祉法人ドリームヴイ,1140034,東京都北区,上十条２－１－１２,03-3906-7753,ドリームハウス,1140034,東京都北区,上十条３－１１－２,03-3906-7757,共同生活援助,1321700104,2009/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人木の実の会,1750084,東京都板橋区,四葉１－７－２,03-6915-6563,四葉寮,1750084,東京都板橋区,四葉１－７－２,03-3939-9458,共同生活援助,1321900035,2009/4/1
社会福祉法人（社協以外）,社会福祉法人まちのひ,1940021,東京都町田市,中町２－２１－８,042-794-6155,ふじ居住支援,1940035,東京都町田市,＊,042-793-9242,共同生活援助,1323200061,2009/4/1
社会福祉法人（社協以外）,社会福祉法人けやきの杜,1850003,東京都国分寺市,戸倉４－１４－７,042-321-2200,地域共同生活支援センター・レハイム,1850003,東京都国分寺市,戸倉３－４９－２０パルーム武蔵野Ａ－１０１、Ａ－１０２,042-329-1021,共同生活援助,1323700086,2009/4/1
その他法人,一般社団法人さくら会,1900182,東京都西多摩郡日の出町,平井２９８２－２,042-597-1715,ひのでグループホームさくら園,1900182,東京都西多摩郡日の出町,大字平井２９８２－２,042-597-7321,共同生活援助,1325200069,2009/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人アドボケイト会,1750082,東京都板橋区,高島平９－２４－４,03-6361-0596,ピアホーム,1740064,東京都板橋区,＊,03-6795-3725,共同生活援助,1321900183,2009/5/1
社会福祉法人（社協以外）,社会福祉法人すみれ会,1900034,東京都立川市,西砂町４－７５－２,042-531-0761,一番町さつき寮,1900033,東京都立川市,一番町４－６２－１,042-531-8609,共同生活援助,1322500016,2009/5/1
医療法人,医療法人社団碧水会,1818586,東京都三鷹市,大沢２－２０－３６,0422-31-8600,野川ホーム　１号館,1810015,東京都三鷹市,＊,0422-31-8102,共同生活援助,1322700541,2009/6/1
非営利法人（ＮＰＯ）,特定非営利活動法人ぶどうの木,1940202,東京都町田市,下小山田町２００－５,042-797-3965,おはな,1940203,東京都町田市,＊,042-794-9101,共同生活援助,1323200947,2009/6/1
社会福祉法人（社協以外）,社会福祉法人万葉の里,1850024,東京都国分寺市,泉町２－３－８,042-321-2728,共同生活支援事業所　万葉の里,1850034,東京都国分寺市,＊,042-312-2728,共同生活援助,1323700300,2009/6/1
営利法人,株式会社新東管理,2070032,東京都東大和市,蔵敷２－４８０－２,042-564-8425,ヒューマンケア　みつき,2080032,東京都武蔵村山市,三ツ木１－５８－８,042-569-2272,共同生活援助,1324600194,2009/6/1
非営利法人（ＮＰＯ）,特定非営利活動法人南風,1830025,東京都府中市,矢崎町４－１５－４３,042-334-5058,ケアホームはな花,1970803,東京都あきる野市,瀬戸岡１６７－１,042-550-5494,共同生活援助,1324900065,2009/6/1
社会福祉法人（社協以外）,社会福祉法人武蔵野会,1920083,東京都八王子市,旭町１２－４　日本生命八王子ビル２階２０１,042-631-6341,からすやまホーム,1570062,東京都世田谷区,南烏山１－９－２０,03-6750-5255,共同生活援助,1321201863,2009/7/1
社会福祉法人（社協以外）,社会福祉法人恩賜財団東京都同胞援護会,1620053,東京都新宿区,原町３－８,03-3341-7161,夢オハナ,1860004,東京都国立市,中１－１３－４８,042-505-5554,共同生活援助,1323800258,2009/7/1
社会福祉法人（社協以外）,社会福祉法人森の会,2030011,東京都東久留米市,大門町２－１３－１１,042-474-7895,優朋,2030032,東京都東久留米市,前沢１－４－２５,042-474-7895,共同生活援助,1324500287,2009/7/1
非営利法人（ＮＰＯ）,特定非営利活動法人わらく,1680065,東京都杉並区,浜田山３－６－２２－３０５号,03-5913-9231,私の家せつ世田谷,1560057,東京都世田谷区,上北沢５－５０－３１,03-5377-3277,共同生活援助,1321201905,2009/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人結花,1340013,東京都江戸川区,江戸川６－３３－４２,03-5674-2456,はっぴーぽけっと,1340013,東京都江戸川区,江戸川６－３３－４２,03-5674-2456,共同生活援助,1322301399,2009/9/1
社会福祉法人（社協以外）,社会福祉法人南風会,1980024,東京都青梅市,新町１－８－２,0428-31-4800,ケアホーム南風,1980032,東京都青梅市,野上町２－１８－１３,0428-31-4800,共同生活援助,1322800309,2009/10/1
社会福祉法人（社協以外）,社会福祉法人睦月会,1860012,東京都国立市,泉３－３０－５,042-571-1115,ケアホーム国立,1860011,東京都国立市,谷保６１５０,5036475095,共同生活援助,1323800274,2009/10/1
非営利法人（ＮＰＯ）,特定非営利活動法人みんふす,1310043,東京都墨田区,立花２－２２－１,03-3612-2054,ＧＨＣＨみんふす,1310043,東京都墨田区,立花２－２２－１,03-3612-2054,共同生活援助,1320700527,2009/11/1
非営利法人（ＮＰＯ）,特定非営利活動法人みんなの広場,1640002,東京都中野区,上高田１－５－４,03-6454-0993,グループホームみんなの広場,1640002,東京都中野区,上高田１－５－４,03-6454-0993,共同生活援助,1321400911,2009/12/1
社会福祉法人（社協以外）,社会福祉法人武蔵野会,1920083,東京都八王子市,旭町１２－４　日本生命八王子ビル２階２０１,042-631-6341,千代田区立障害者福祉センター　グループホーム　ふぁみりあ,1010062,東京都千代田区,＊,03-3291-0600,共同生活援助,1320100173,2010/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人東京ソテリア,1320031,東京都江戸川区,松島４－４６－２,03-5879-3312,東京ソテリアハウス,1320031,東京都江戸川区,＊,03-5879-3312,共同生活援助,1322301431,2010/1/1
社会福祉法人（社協以外）,社会福祉法人墨田さんさん会,1310043,東京都墨田区,立花４－３０－１６,03-5631-3305,ほーむアンブレラ,1310044,東京都墨田区,文花１－３２－７,03-3616-3381,共同生活援助,1320700535,2010/2/1
非営利法人（ＮＰＯ）,特定非営利活動法人インクルージョン推進機構,1900032,東京都立川市,上砂町５－６１－２０　ヴェルデ上砂３０５,042-534-8586,西糀谷和の家,1440034,東京都大田区,西糀谷４－５－１８,03-3745-5557,共同生活援助,1321101394,2010/2/1
非営利法人（ＮＰＯ）,特定非営利活動法人りあん,1920001,東京都八王子市,戸吹町５５７,042-689-6236,そらのいえ,1920011,東京都八王子市,滝山町２－７４－２,042-659-3161,共同生活援助,1322401397,2010/2/1
営利法人,株式会社コクア,1160002,東京都荒川区,荒川３－３３－２,03-5615-2911,日本ダルクホーム,1160002,東京都荒川区,＊,03-5615-2911,共同生活援助,1321800664,2010/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人ゆうじん　,1940031,東京都町田市,南大谷１３２９－１３,042-723-0229,ゆうじん,1950062,東京都町田市,大蔵町１６３２－１　アウステル１０１,042-734-5313,共同生活援助,1323201002,2010/4/1
社会福祉法人（社協以外）,社会福祉法人ウィズ町田,1940037,東京都町田市,木曽西２－１７－１６,042-794-3252,ウィズ町田グループホーム,1940038,東京都町田市,根岸１－１５－３０,042-789-7001,共同生活援助,1323201036,2010/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人大田桜の会,1440043,東京都大田区,羽田２－１５－２,03-3743-8488,梅の木寮第一,1440043,東京都大田区,羽田２－２７－６,03-3744-3739,共同生活援助,1321101436,2010/5/1
医療法人,医療法人社団瑞信会,1010021,東京都千代田区,外神田６－９－８,03-5244-2013,ハウス北小岩,1330051,東京都江戸川区,＊,03-5668-7515,共同生活援助,1322301464,2010/5/1
非営利法人（ＮＰＯ）,特定非営利活動法人藍の会,1930803,東京都八王子市,楢原町３８４－５,042-652-9567,グループホーム・ケアホーム　あい,1920004,東京都八王子市,加住町１－２６６－１,042-652-9567,共同生活援助,1322401496,2010/5/1
非営利法人（ＮＰＯ）,特定非営利活動法人ハート･ウォーミングホーム,1210011,東京都足立区,中央本町３－７－７,03-3880-2158,中央本町第１,1210011,東京都足立区,中央本町３－７－７,03-3880-2158,共同生活援助,1322101682,2010/6/1
非営利法人（ＮＰＯ）,特定非営利活動法人メンタルサポートアリス,1200011,東京都足立区,中央本町１－１８－１７,03-3849-6300,すてーきホーム,1210815,東京都足立区,＊,03-3849-6300,共同生活援助,1322101690,2010/6/1
営利法人,株式会社ぽえ夢,1440055,東京都大田区,仲六郷２－２３－３　第３松原ハイツ１号,03-3734-6530,グループホーム　ぽえむ,1440055,東京都大田区,仲六郷２－２３－３　第３松原ハイツ１号,03-3734-6530,共同生活援助,1321101469,2010/8/1
社会福祉法人（社協以外）,社会福祉法人もくば会,1930944,東京都八王子市,館町２８３７,042-629-9098,ふらっと,1930803,東京都八王子市,楢原町１２８３－１,042-655-6833,共同生活援助,1322401553,2010/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人自立支援センターふるさとの会,1110031,東京都台東区,千束４－３９－６－４階,03-3876-8150,ふるさとホーム新宿,1690072,東京都新宿区,＊,03-6273-8640,共同生活援助,1320401019,2010/9/1
非営利法人（ＮＰＯ）,特定非営利活動法人福祉検討会,1710032,東京都豊島区,雑司が谷２－２５－４,03-5954-4041,グループホームふくふく,1710032,東京都豊島区,＊,03-6907-2457,共同生活援助,1321600890,2010/9/1
非営利法人（ＮＰＯ）,特定非営利活動法人アルプス,1250061,東京都葛飾区,亀有１－２２－９－３０３,03-6231-2768,アルプスホーム,1250061,東京都葛飾区,＊,03-6231-2768,共同生活援助,1322201292,2010/9/1
営利法人,有限会社アイ介護サービス,1330061,東京都江戸川区,篠崎町２－５８－３,03-5664-0430,ぱらそる,1320002,東京都江戸川区,谷河内１－５－３,03-5664-6135,共同生活援助,1322301571,2010/11/1
社会福祉法人（社協以外）,社会福祉法人藤倉学園,1920152,東京都八王子市,美山町１２３０,042-652-9330,ニュースの家,1000101,東京都大島町,元町字八重の水２４４－２,04992-2-4353,共同生活援助,1325600060,2010/11/1
非営利法人（ＮＰＯ）,特定非営利活動法人みんないっしょ,1160012,東京都荒川区,東尾久２－３７－５－５０４,03-3810-5119,グループホームももの木,1160001,東京都荒川区,町屋３－２８－４,03-6807-6305,共同生活援助,1321800706,2010/12/1
非営利法人（ＮＰＯ）,特定非営利活動法人おおぞら会,1330056,東京都江戸川区,南小岩６－１１－６,03-5693-5940,グループホームおおぞらの家,1330056,東京都江戸川区,南小岩８－２６－６,03-6806-9765,共同生活援助,1322301589,2010/12/1
社会福祉法人（社協以外）,社会福祉法人清峰会,9618061,福島県西白河郡西郷村,大字小田倉字大清水３８９－５,0248-25-1881,柳北ほうらい,1110024,東京都台東区,今戸２－２－２－３０１,03-5825-4868,共同生活援助,1320600636,2011/3/1
社団・財団,一般社団法人ロッキー,1750082,東京都板橋区,高島平１－４８－６　１階,03-6913-0242,ロッキーなかだいホーム,1740064,東京都板橋区,中台２－３１－１５,03-6915-7510,共同生活援助,1321901694,2011/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人ひだまり,1320022,東京都江戸川区,大杉３－２１－４,03-5662-6628,ひだまりの家,1320022,東京都江戸川区,大杉３－２１－４,03-5662-6628,共同生活援助,1322301662,2011/4/1
社団・財団,一般社団法人西多摩福祉会,1980052,東京都青梅市,長淵１－９５５－２７,0428-25-0080,グループホームワンステップ,1980052,東京都青梅市,＊,0428-25-0080,共同生活援助,1322800358,2011/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人　筍,1610034,東京都新宿区,上落合３ー２９－７　コーポ・プロスパ２０２,03-5332-3848,こごみハウス,1610034,東京都新宿区,＊,03-5332-3848,共同生活援助,1320401100,2011/5/1
非営利法人（ＮＰＯ）,特定非営利活動法人まどか,1680064,東京都杉並区,永福１丁目２７番３１号,03-5300-2834,ジョイフル,1680064,東京都杉並区,＊,8044225690,共同生活援助,1321501619,2011/5/1
非営利法人（ＮＰＯ）,特定非営利活動法人グランエール,1330061,東京都江戸川区,篠崎町４－２８－９,03-3677-2057,アリスの家,1330065,東京都江戸川区,南篠崎町１－２０－５,03-3677-2057,共同生活援助,1322301704,2011/6/1
非営利法人（ＮＰＯ）,特定非営利活動法人イブジャパン,1870034,東京都小平市,栄町３－５－２３,042-346-3111,イブハウス,1870031,東京都小平市,小川東町２－２－３０８,042-312-3633,共同生活援助,1324300290,2011/6/1
社会福祉法人（社協以外）,社会福祉法人本郷の森,1130033,東京都文京区,本郷３－２９－６　カリテス佐々木２階,03-5684-1016,ホームいちょう,1130022,東京都文京区,＊,03-3823-6474,共同生活援助,1320500505,2011/7/1
社会福祉法人（社協以外）,社会福祉法人大三島育徳会,1570077,東京都世田谷区,鎌田３－１６－６,03-5491-0340,ホーム　いろえんぴつ,1570077,東京都世田谷区,鎌田３－１６－７,03-5491-5851,共同生活援助,1321202275,2011/7/1
営利法人,日本ウイリング株式会社,1730003,東京都板橋区,加賀１－１０－２,03-3962-3251,グループホーム「あしたの樹」,1730003,東京都板橋区,加賀１－１０－２　日本ウイリング（株）本社ビル２階,03-6905-6553,共同生活援助,1321901868,2011/8/1
その他法人,一般社団法人マザリーハウス,1900182,東京都西多摩郡日の出町,平井２４０－８　,042-588-4175,バスケット日の出寮,1900182,東京都西多摩郡日の出町,大字平井字三吉野桜木４８０－８,042-588-4175,共同生活援助,1322800382,2011/8/1
社会福祉法人（社協以外）,社会福祉法人つむぎ,1870031,東京都小平市,小川東町４－２－１　小平元気村おがわ東,042-346-4530,みそのハウス,1870041,東京都小平市,美園町１－１７－１１　ホワイトヴィラ美園１０３,042-345-1015,共同生活援助,1323400620,2011/8/1
非営利法人（ＮＰＯ）,特定非営利活動法人住まいる,1780063,東京都練馬区,東大泉７－３４－２８　サンホワイト井頭Ａ１０７,03-5935-9299,グループホーム住まいる,1770051,東京都練馬区,＊,03-5935-9299,共同生活援助,1322002310,2011/10/1
医療法人,医療法人財団厚生協会,1710021,東京都豊島区,西池袋１－１０－２,03-3883-6331,ハートパル花畑,1210061,東京都足立区,＊,03-5242-2288,共同生活援助,1322102136,2011/10/1
社会福祉法人（社協以外）,社会福祉法人太陽福祉協会,1900181,東京都西多摩郡日の出町,大久野５１０７,042-597-2811,エルムンド,1120002,東京都文京区,小石川５－７－５,03-3942-5225,共同生活援助,1320500521,2011/11/1
医療法人,医療法人財団良心会,1980001,東京都青梅市,成木１－４４７,0428-74-4111,ブルーシャトー,1980001,東京都青梅市,＊,0428-74-7345,共同生活援助,1322800408,2011/12/1
非営利法人（ＮＰＯ）,特定非営利活動法人ほおずきの会,1110021,東京都台東区,日本堤１－３２－３,03-3871-4123,グループホームクローバー,1110021,東京都台東区,日本堤２－１５－４　エスポワール浅草　４０１,03-3872-1185,共同生活援助,1320600040,2012/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人くぬぎ,1640014,東京都中野区,南台３－４５－５,03-6382-8954,どれみふぁ,1640014,東京都中野区,南台３－４５－５,03-6382-8954,共同生活援助,1321401174,2012/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人ゲンキふじグループ,1660002,東京都杉並区,高円寺北２－１－２４,03-3339-2486,グループホーム　ゲンキ永福,1680064,東京都杉並区,永福２－４－１３,03-6795-8170,共同生活援助,1321501684,2012/1/1
非営利法人（ＮＰＯ）,特定非営利活動法人燦,1860003,東京都国立市,富士見台3-33-22,042-571-2231,ケアホーム　はんもっく,1830046,東京都府中市,西原町４－２０－２４,042-505-6371,共同生活援助,1322900844,2012/2/1
社会福祉法人（社協以外）,社会福祉法人復生あせび会,4120033,静岡県御殿場市,神山１９０８－９,0550-87-5584,文京ホーム　アンダンテ,1120012,東京都文京区,＊,03-5981-5620,共同生活援助,1320500539,2012/3/1
医療法人,医療法人社団東京愛成会,1920005,東京都八王子市,宮下町１７８,042-691-1131,ルーエ,1920005,東京都八王子市,＊,042-691-5915,共同生活援助,1322402098,2012/3/1
非営利法人（ＮＰＯ）,特定非営利活動法人ハッピーベア,1740046,東京都板橋区,蓮根１－２０－１０,03-6454-5253,ベアーハウス,1740046,東京都板橋区,蓮根１－２０－１０,036454-5253,共同生活援助,1321901991,2012/4/1
社会福祉法人（社協以外）,社会福祉法人いこい,1200026,東京都足立区,千住旭町３１－５,03-5244-0233,グループホーム仲,1200036,東京都足立区,＊,03-5244-0233,共同生活援助,1322102243,2012/4/1
営利法人,株式会社アイサービス,1900031,東京都立川市,砂川町８－７１－６,042-538-0151,アムール上水,1900031,東京都立川市,砂川町６－３７－６,042-534-9323,共同生活援助,1322500719,2012/4/1
社会福祉法人（社協以外）,社会福祉法人新樹会,1820005,東京都調布市,東つつじケ丘２－２７－１,03-5314-7081,粋交舎,1820007,東京都調布市,＊,042-443-0915,共同生活援助,1323100725,2012/4/1
社会福祉法人（社協以外）,社会福祉法人ボワ・すみれ福祉会,1940202,東京都町田市,下小山田町３２６７－２,042-797-6004,ボワ・ミニヨン,1940037,東京都町田市,木曽西３－１１－８,042-793-5330,共同生活援助,1323201226,2012/4/1
非営利法人（ＮＰＯ）,特定非営利活動法人インクルージョン推進機構,1900032,東京都立川市,上砂町５－６１－２０　ヴェルデ上砂３０５,042-534-8586,グリーンオアシス,1970003,東京都福生市,大字熊川７３８－４,042-530-6800,共同生活援助,1324100195,2012/4/1
