No.,申請者名称,事業所番号,枝番／ 連番,事業所名称,事業所郵便番号,事業所所在地,事業所電話番号,事業所FAX番号,共同生活住居名称,共同生活住居〒,共同生活住居所在地,主たる対象者(身体障害者),主たる対象者(知的障害者),主たる対象者(精神障害者),主たる対象者(難病等対象者),異動年月日,異動区分,施設等の区分,利用定員数
661,特定非営利活動法人ひだまり,1124300243,4,グループホームひだまり,3670061,埼玉県本庄市小島六丁目６番４号,0495-24-1370,,グループホームひだまりⅣ,3670061,埼玉県本庄市小島６－６－４　福島ハイツ２０１,○,○,○,×,2021/7/1,変更,1:介護サービス包括型,6
712,社会福祉法人ふかや精神保健福祉の会まゆだま,1124600824,1,グループホーム「桑ねっこ」,3660054,埼玉県深谷市緑ヶ丘３－９フジハイツ（１０５号）,048-574-8084,048-574-8084,グループホーム「桑ねっこ」,3660054,埼玉県深谷市緑ヶ丘３番地９号フジハイツ（１０５号）,×,×,○,×,2021/7/1,変更,2:外部サービス利用型,8
783,株式会社ピクニック計画,1125100782,1,ピクニック新座,3520035,埼玉県新座市栗原５－６－８,09013951319,,クレハ５６８,3520035,埼玉県新座市栗原５－６－８,×,×,○,×,2021/7/1,変更,1:介護サービス包括型,7
838,株式会社ミヤビカ,1126200276,1,結の里雅松ヶ丘ホーム,3502205,埼玉県鶴ヶ島市松ヶ丘２－１－１２セジュール金子１０３号,049-298-5640,049-298-5640,結の里雅松ヶ丘ホーム,3502205,埼玉県鶴ヶ島市松ヶ丘２－１－１２セジュール金子１０３号,×,○,×,×,2021/7/1,新規,1:介護サービス包括型,4
52,株式会社STORIES,1120601461,4,ＳＴＯＲＩＥＳ春日部,3440007,埼玉県春日部市小渕６９４－１１,05053625947,03-6332-9348,ＳＴＯＲＩＥＳ西金野井,3440112,埼玉県春日部市西金野井２９０－１,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,6
53,株式会社STORIES,1120601461,5,ＳＴＯＲＩＥＳ春日部,3440007,埼玉県春日部市小渕６９４－１１,05053625947,03-6332-9348,ＳＴＯＲＩＥＳ北春日部,3440053,埼玉県春日部市梅田本町1-9-11,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,5
54,株式会社STORIES,1120601461,6,ＳＴＯＲＩＥＳ春日部,3440007,埼玉県春日部市小渕６９４－１１,05053625947,03-6332-9348,ＳＴＯＲＩＥＳ備後西,3440033,埼玉県春日部市備後西１－１－２７,×,○,○,×,2021/6/1,新規,1:介護サービス包括型,5
73,合同会社依,1120601578,1,グループホームゆり,3440016,埼玉県春日部市本田町２丁目８２－１,048-872-6230,048-796-4099,グループホームゆり,3440016,埼玉県春日部市本田町２丁目８２－１,×,○,○,○,2021/6/1,新規,1:介護サービス包括型,5
113,社会福祉法人銀杏会,1121175234,1,グループホームまごころ,3430102,埼玉県北葛飾郡松伏町築比地字番匠５０７,048-993-3000,048-993-3000,グループホームまごころ,3430102,埼玉県北葛飾郡松伏町築比地字番匠５０７,×,○,×,×,2021/6/1,変更,1:介護サービス包括型,8
181,特定非営利活動法人ドリームワーク,1121600975,1,グループホームかがやき,3620071,埼玉県上尾市井戸木三丁目１番地４,048-871-7067,048-771-1541,グループホームかがやき,3620071,埼玉県上尾市井戸木三丁目１番地４,×,○,×,×,2021/6/1,新規,1:介護サービス包括型,4
225,ゆりいか株式会社,1121800922,1,ユリーカハイム草加,3400026,埼玉県草加市両新田東町84-1,048-954-4401,048-954-4402,ユリーカハイム草加,3400026,埼玉県草加市両新田東町84-1,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,7
226,ゆりいか株式会社,1121800922,2,ユリーカハイム草加,3400026,埼玉県草加市両新田東町84-1,048-954-4401,048-954-4402,ユリーカハイム草加Ⅱ,3400026,埼玉県草加市両新田東町５６番地５,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,4
228,株式会社ホープスター,1121800963,1,グループホームポラリス草加,3400023,埼玉県草加市谷塚町１４２０－１６,048-954-5028,048-954-5028,グループホームポラリス草加２号館,3400005,埼玉県草加市中根一丁目１４－３０,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,4
229,株式会社ホープスター,1121800963,2,グループホームポラリス草加,3400023,埼玉県草加市谷塚町１４２０－１６,048-954-5028,048-954-5028,グループホームポラリス草加３号館,3400006,埼玉県草加市八幡町８２２－２９,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,3
276,株式会社日本クリード,1122100546,1,クリード朝霞,3510033,埼玉県朝霞市浜崎６５６－１,048-486-1231,048-486-1232,クリード朝霞　ユニット１,3510033,埼玉県朝霞市浜崎６５６－１,○,○,○,○,2021/6/1,変更,3:日中サービス支援型,10
277,株式会社日本クリード,1122100546,2,クリード朝霞,3510033,埼玉県朝霞市浜崎６５６－１,048-486-1231,048-486-1232,クリード朝霞　ユニット３,3510033,埼玉県朝霞市浜崎６５６－１,○,○,○,○,2021/6/1,変更,3:日中サービス支援型,9
278,株式会社日本クリード,1122100546,3,クリード朝霞,3510033,埼玉県朝霞市浜崎６５６－１,048-486-1231,048-486-1232,クリード朝霞　ユニット２,3510033,埼玉県朝霞市浜崎６５６－１,○,○,○,○,2021/6/1,変更,3:日中サービス支援型,10
322,医療法人社団幸悠会,1122501461,1,ベルツリー所沢,3591167,埼玉県所沢市林二丁目１０８番３,04-2968-3390,04-2968-3390,ベルツリー所沢,3591167,埼玉県所沢市林二丁目１０８番３,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,10
331,一般社団法人アノール,1122501602,1,コウン,3590041,埼玉県所沢市中新井１－１３７　アクシス１０２号室,0429-92-0611,04-2930-3863,コウン１,3590041,埼玉県所沢市中新井１－１３７　アクシス１０２号室,○,○,○,○,2021/6/1,変更,1:介護サービス包括型,3
332,一般社団法人アノール,1122501602,2,コウン,3590041,埼玉県所沢市中新井１－１３７　アクシス１０２号室,0429-92-0611,04-2930-3863,コウン２,3590045,埼玉県所沢市美原町３－２９５０－７　ドエルミハラＡ１０２号室,○,○,○,○,2021/6/1,変更,1:介護サービス包括型,3
333,一般社団法人アノール,1122501602,3,コウン,3590041,埼玉県所沢市中新井１－１３７　アクシス１０２号室,0429-92-0611,04-2930-3863,コウン３,3591114,埼玉県所沢市北有楽町５－９　アーガスヒルズ２８　１０１号室,○,○,○,○,2021/6/1,変更,1:介護サービス包括型,3
334,一般社団法人アノール,1122501602,4,コウン,3590041,埼玉県所沢市中新井１－１３７　アクシス１０２号室,0429-92-0611,04-2930-3863,コウン４,3501334,埼玉県狭山市狭山１８－１７　エーデルホフ１０１号室,○,○,○,○,2021/6/1,変更,1:介護サービス包括型,2
335,一般社団法人アノール,1122501602,5,コウン,3590041,埼玉県所沢市中新井１－１３７　アクシス１０２号室,0429-92-0611,04-2930-3863,コウン５,3590046,埼玉県所沢市北所沢町２２２４－４　ベルフィールドコートＢ１０１号室,○,○,○,○,2021/6/1,変更,1:介護サービス包括型,3
398,ソーシャルインクルー株式会社,1122800624,1,ソーシャルインクルーホーム入間上藤沢,3580013,埼玉県入間市大字上藤沢５４２－４,04-2968-9035,04-2968-9039,ソーシャルインクルーホーム入間上藤沢Ⅰ,3580013,埼玉県入間市大字上藤沢５４２－４,○,○,○,×,2021/6/1,変更,3:日中サービス支援型,10
426,社会福祉法人埼玉県ブルーバードホーム,1123100024,1,新島荘,3600817,埼玉県熊谷市新島３３５　２０２号・２０３号,048-527-0330,048-536-8333,新島荘,3600817,埼玉県熊谷市新島３３５　２０２号・２０３号,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,4
427,社会福祉法人埼玉県ブルーバードホーム,1123100024,2,新島荘,3600817,埼玉県熊谷市新島３３５　２０２号・２０３号,048-527-0330,048-536-8333,新島荘,3600831,埼玉県熊谷市大字久保島８１１－１県営熊谷玉井住宅Ａ１０７棟,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,2
467,ジャパンサポートサービス株式会社,1123101295,1,秀和会,3610056,埼玉県行田市持田５－４－２６,048-594-9046,048-594-9046,やすらぎハウス１,3610056,埼玉県行田市持田５－４－２６,×,○,○,×,2021/6/1,新規,1:介護サービス包括型,4
468,ジャパンサポートサービス株式会社,1123101295,2,秀和会,3610056,埼玉県行田市持田５－４－２６,048-594-9046,048-594-9046,やすらぎハウス２,3600012,埼玉県熊谷市上之１３１５－８,×,○,○,×,2021/6/1,新規,1:介護サービス包括型,4
473,社会福祉法人埼玉県社会福祉事業団,1123214312,1,嵐山ハイム,3550221,埼玉県比企郡嵐山町菅谷３８１－８,0493-62-0633,0493-62-8944,嵐山ハイム,3550221,埼玉県比企郡嵐山町菅谷３８１番地８,×,○,×,×,2021/6/1,変更,1:介護サービス包括型,6
474,社会福祉法人埼玉県社会福祉事業団,1123214312,3,嵐山ハイム,3550221,埼玉県比企郡嵐山町菅谷３８１－８,0493-62-0633,0493-62-8944,やまゆりハイム,3550201,埼玉県比企郡嵐山町古里２０６５－４,×,○,×,×,2021/6/1,変更,1:介護サービス包括型,16
490,社会福祉法人ありす福祉会,1123286153,2,グループホームかのん,3500323,埼玉県比企郡鳩山町大字小用１２０１－１,049-296-7077,049-277-4661,グループホームひまわり荘,3500321,埼玉県比企郡鳩山町大字赤沼１６１８－２,×,○,×,×,2021/6/1,変更,1:介護サービス包括型,4
492,社会福祉法人ありす福祉会,1123286153,4,グループホームかのん,3500323,埼玉県比企郡鳩山町大字小用１２０１－１,049-296-7077,049-277-4661,グループホームいまり寮,3500302,埼玉県比企郡鳩山町大字大橋７１２－４,×,○,×,×,2021/6/1,変更,1:介護サービス包括型,6
564,特定非営利活動法人サイシップ,1123700302,1,グループホーム夢,3610077,埼玉県行田市忍１－３－１４,048-598-8389,048-557-5888,グループホーム夢,3610077,埼玉県行田市忍1-3-14,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,7
565,特定非営利活動法人サイシップ,1123700302,2,グループホーム夢,3610077,埼玉県行田市忍１－３－１４,048-598-8389,048-557-5888,グループホーム夢　２番館,3610007,埼玉県行田市小見1307-1,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,6
569,ソーシャルインクルー株式会社,1123700401,1,ソーシャルインクルーホーム行田富士見町,3610021,埼玉県行田市富士見町二丁目１０－５、１０－４,048-579-5841,048-579-5842,ソーシャルインクルーホーム行田富士見町Ⅰ,3610021,埼玉県行田市富士見町二丁目１０－５、１０－４,○,○,○,×,2021/6/1,変更,3:日中サービス支援型,10
570,ソーシャルインクルー株式会社,1123700401,2,ソーシャルインクルーホーム行田富士見町,3610021,埼玉県行田市富士見町二丁目１０－５、１０－４,048-579-5841,048-579-5842,ソーシャルインクルーホーム行田富士見町Ⅱ,3610021,埼玉県行田市富士見町二丁目１０－５、１０－４,○,○,○,×,2021/6/1,変更,3:日中サービス支援型,10
685,特定非営利活動法人深谷・まち生活サポートの会,1124600386,1,ケアホームハーモニー,3660035,埼玉県深谷市原郷９４７番地２,048-573-7339,048-573-7339,ケアホームハーモニー,3660035,埼玉県深谷市原郷９４７－２,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,9
686,特定非営利活動法人深谷・まち生活サポートの会,1124600386,2,ケアホームハーモニー,3660035,埼玉県深谷市原郷９４７番地２,048-573-7339,048-573-7339,ハミング,3660034,埼玉県深谷市常盤町８１番地１５,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,9
777,特定非営利活動法人はなみずき,1125100758,1,もみじ寮,3520006,埼玉県新座市新座新座二丁目１番２０号むさしの１０２・２０２,09061106966,048-278-4951,もみじ寮,3520006,埼玉県新座市新座二丁目１番２０号むさしの１０２・２０２,×,○,○,×,2021/6/1,変更,1:介護サービス包括型,4
794,特定非営利活動法人北本市手をつなぐ育成会,1125300242,1,グループホームたんぽぽ,3640014,埼玉県北本市二ツ家一丁目１６７番地３,048-593-2922,048-593-2922,グループホームたんぽぽ,3640014,埼玉県北本市二ツ家一丁目１６７番地３,×,○,×,×,2021/6/1,変更,1:介護サービス包括型,9
144,社会福祉法人あらぐさ福祉会,1121600017,3,クローバーハウス,3620066,埼玉県上尾市領家１１４－４,048-726-3997,048-726-3997,第３クローバーハウス,3620058,埼玉県上尾市上野字東中３５８番１３,×,○,×,×,2021/5/1,新規,1:介護サービス包括型,7
180,一般社団法人ぐりんの家,1121600967,1,ぐりんの家　グループホーム,3620001,埼玉県上尾市大字上１０４１番地１３,09012517522,,ぐりんの家　グループホーム,3620001,埼玉県上尾市上１０４１番地１３,×,○,○,×,2021/5/1,新規,1:介護サービス包括型,5
349,Ｒ.アソート合同会社,1122501669,1,障害者グループホームにじいろ,3590024,埼玉県所沢市大字下安松３９７－２３,04-2945-1717,04-2945-1717,にじいろ下安松,3590024,埼玉県所沢市大字下安松３９７－２３,×,○,○,×,2021/5/1,変更,1:介護サービス包括型,4
350,Ｒ.アソート合同会社,1122501669,2,障害者グループホームにじいろ,3590024,埼玉県所沢市大字下安松３９７－２３,04-2945-1717,04-2945-1717,にじいろ上安松,3590025,埼玉県所沢市大字上安松１１６０－２,×,○,○,×,2021/5/1,新規,1:介護サービス包括型,3
369,社会福祉法人みのり福祉会,1122700287,3,グループホームみどり,3501305,埼玉県狭山市入間川1469番地の57,04-2946-9371,04-2946-9372,グループホームあおぞら,3501305,埼玉県狭山市入間川1442-3,×,○,×,×,2021/5/1,変更,1:介護サービス包括型,11
371,社会福祉法人みのり福祉会,1122700287,5,グループホームみどり,3501305,埼玉県狭山市入間川1469番地の57,04-2946-9371,04-2946-9372,グループホームあおば,3501305,埼玉県狭山市入間川字下窪１７３０番地１,×,○,×,×,2021/5/1,変更,1:介護サービス包括型,18
396,合同会社コンフォルトモンテ,1122800616,1,モンテホーム入間Ⅰ,3580046,埼玉県入間市南峯３６４－１５,04-2001-3389,04-2001-3389,モンテホーム入間Ⅰ,3580046,埼玉県入間市南峯３６４－１５,×,○,○,×,2021/5/1,変更,1:介護サービス包括型,5
397,合同会社コンフォルトモンテ,1122800616,2,モンテホーム入間Ⅰ,3580046,埼玉県入間市南峯３６４－１５,04-2001-3389,04-2001-3389,モンテホーム入間Ⅱ,3580054,埼玉県入間市野田２６３－５,×,○,○,×,2021/5/1,変更,1:介護サービス包括型,5
463,特定非営利活動法人男沼コスモスホーム,1123101279,1,男沼コスモスホーム,3600241,埼玉県熊谷市妻沼台９２９番地２,048-588-2147,048-588-2147,男沼コスモスホーム,3600241,埼玉県熊谷市妻沼台９２９番地２,×,○,○,×,2021/5/1,新規,1:介護サービス包括型,5
464,Gift Your Life株式会社,1123101287,1,グループホームわおんライフ埼玉,3600815,埼玉県熊谷市本石２丁目３１０番地２,048-578-4339,048-578-5037,グループホームわおんライフ熊谷本石,3600815,埼玉県熊谷市本石２丁目３１０番地２,×,○,○,×,2021/5/1,新規,1:介護サービス包括型,4
498,株式会社慶,1123286302,1,カノン,3550110,埼玉県比企郡吉見町東野６－６－２６,0493-77-1667,0493-77-1667,カノン,3550110,埼玉県比企郡吉見町東野６－６－２６,×,○,×,×,2021/5/1,変更,1:介護サービス包括型,5
582,合同会社春日部不動産,1123800383,2,ルピナス馬内,3470043,埼玉県加須市馬内４２８番地７,048-739-3888,048-739-3887,ルピナス愛宕,3470057,埼玉県加須市愛宕二丁目５番５号,×,○,○,×,2021/5/1,新規,1:介護サービス包括型,6
584,特定非営利活動法人ドットｃｏｍ,1123800490,1,グループホームつくしんぼ,3470012,埼玉県加須市多門寺１５８番地２,0480-31-9892,0480-31-9893,グループホームつくしんぼ,3470012,埼玉県加須市多門寺１５８番地２,○,○,×,○,2021/5/1,変更,3:日中サービス支援型,6
642,特定非営利活動法人ヒューマン・ネット,1124266774,3,アイリス,3670245,埼玉県児玉郡神川町大字植竹３８８番地７,0495-77-4006,0495-77-5090,アイリスＣ棟,3670245,埼玉県児玉郡神川町植竹３８８番地６,×,○,×,×,2021/5/1,変更,1:介護サービス包括型,12
653,社会福祉法人本庄ひまわり福祉会,1124300011,1,ひまわりのいえ,3670015,埼玉県本庄市牧西１１２６－６,0495-27-7544,0495-71-7545,ひまわりのいえ　ことぶき,3670023,埼玉県本庄市寿２－６－２８,×,○,×,×,2021/5/1,変更,1:介護サービス包括型,6
654,社会福祉法人本庄ひまわり福祉会,1124300011,2,ひまわりのいえ,3670015,埼玉県本庄市牧西１１２６－６,0495-27-7544,0495-71-7545,ひまわりのいえ　ふじた,3670015,埼玉県本庄市牧西１１２６－６,×,○,×,×,2021/5/1,変更,1:介護サービス包括型,7
822,合同会社共同生活サポートうさぎの森,1126000536,2,グループホームらぱんの城,3500247,埼玉県坂戸市西坂戸五丁目３８番地１８,049-227-3853,049-227-3854,グループホーム第２らぱんの城,3500247,埼玉県坂戸市西坂戸５丁目３３番地２,×,○,○,×,2021/5/1,新規,1:介護サービス包括型,4
1,一般社団法人市一舎,1120566847,1,じゅれー,3450836,埼玉県南埼玉郡宮代町和戸１丁目３番２５,048-030-6129,048-030-6129,じゅれーⅠ,3450836,埼玉県南埼玉郡宮代町和戸１丁目３番２５,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
2,一般社団法人市一舎,1120566847,2,じゅれー,3450836,埼玉県南埼玉郡宮代町和戸１丁目３番２５,048-030-6129,048-030-6129,じゅれーノア,3450822,埼玉県南埼玉郡宮代町笠原２丁目２番７ノアコーポ１０２号・１０３号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
3,一般社団法人市一舎,1120566847,3,じゅれー,3450836,埼玉県南埼玉郡宮代町和戸１丁目３番２５,048-030-6129,048-030-6129,じゅれー姫宮,3450804,埼玉県南埼玉郡宮代町川端３丁目６番３号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
4,一般社団法人市一舎,1120566847,4,じゅれー,3450836,埼玉県南埼玉郡宮代町和戸１丁目３番２５,048-030-6129,048-030-6129,じゅれー桜A,3450823,埼玉県南埼玉郡宮代町宮代２丁目７番１６,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
5,一般社団法人市一舎,1120566847,5,じゅれー,3450836,埼玉県南埼玉郡宮代町和戸１丁目３番２５,048-030-6129,048-030-6129,じゅれー桜B,3450823,埼玉県南埼玉郡宮代町宮代２丁目７番１７,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
6,一般社団法人市一舎,1120566847,6,じゅれー,3450836,埼玉県南埼玉郡宮代町和戸１丁目３番２５,048-030-6129,048-030-6129,じゅれー姫宮２,3450812,埼玉県南埼玉郡宮代町姫宮３３５－１０,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
7,合同会社市一舎,1120566854,1,グループホームMIRAI,3450804,埼玉県南埼玉郡宮代町川端４丁目６番１５,09063121122,,グループホームMIRAI,3450804,埼玉県南埼玉郡宮代町川端４丁目６番１５,×,○,○,×,2021/4/1,新規,1:介護サービス包括型,4
8,社会福祉法人ともに福祉会,1120600018,1,グループホーム　なないろ,3440011,埼玉県春日部市藤塚１２４５－１,048-797-8112,048-797-8113,第１なないろ,3440021,埼玉県春日部市大場９２８番地１０,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,6
9,社会福祉法人ともに福祉会,1120600018,2,グループホーム　なないろ,3440011,埼玉県春日部市藤塚１２４５－１,048-797-8112,048-797-8113,第２なないろ,3440011,埼玉県春日部市藤塚１２４５番地５,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,7
10,社会福祉法人ともに福祉会,1120600018,3,グループホーム　なないろ,3440011,埼玉県春日部市藤塚１２４５－１,048-797-8112,048-797-8113,第３なないろ,3440011,埼玉県春日部市藤塚１２４５番地１,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,6
11,社会福祉法人ともに福祉会,1120600018,4,グループホーム　なないろ,3440011,埼玉県春日部市藤塚１２４５－１,048-797-8112,048-797-8113,第４なないろ,3440011,埼玉県春日部市藤塚１２４５番地７,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,5
12,社会福祉法人ともに福祉会,1120600018,5,グループホーム　なないろ,3440011,埼玉県春日部市藤塚１２４５－１,048-797-8112,048-797-8113,第５なないろ,3440011,埼玉県春日部市藤塚字三本木２８５８番,○,○,○,○,2021/4/1,変更,1:介護サービス包括型,5
13,特定非営利活動法人春日部ゆい,1120600026,1,ケアホームのぞみ,3440006,埼玉県春日部市八丁目９８８番地４,048-755-5174,048-761-5343,ケアホームのぞみ,3440006,埼玉県春日部市八丁目９８８番地４,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
19,特定非営利活動法人春日部養成会,1120600422,1,特定非営利活動法人春日部養成会あすか寮,3440002,埼玉県春日部市八丁目樋篭１２９９番地１号,048-761-0677,048-761-0677,春日部養成会あすか寮,3440002,埼玉県春日部市八丁目樋篭１２９９番地１号,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,10
20,社会福祉法人ともに福祉会,1120600547,1,グループホームあおい,3440067,埼玉県春日部市中央３－１－８第１５アオイビル１０５号,048-796-0736,048-796-0685,グループホームあおい,3440067,埼玉県春日部市中央３－１－８第１５アオイビル,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
21,社会福祉法人ともに福祉会,1120600547,2,グループホームあおい,3440067,埼玉県春日部市中央３－１－８第１５アオイビル１０５号,048-796-0736,048-796-0685,グループホームあおい第２,3440067,埼玉県春日部市中央3－1－29,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
22,社会福祉法人ともに福祉会,1120600547,3,グループホームあおい,3440067,埼玉県春日部市中央３－１－８第１５アオイビル１０５号,048-796-0736,048-796-0685,あかね棟,3440053,埼玉県春日部市梅田本町2－35－27,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
23,特定非営利活動法人たねまき,1120600794,1,レインボー南桜井,3440115,埼玉県春日部市米島字吉岡８１８番地３０,048-747-2234,048-747-2234,レインボー南桜井,3440115,埼玉県春日部市字吉岡米島８１８番地３０,×,○,×,×,2021/4/1,変更,1:介護サービス包括型,7
24,株式会社あおいの杜,1120600901,1,春風ホーム,3440048,埼玉県春日部市南中曽根６９８－２,080-66176245,048-884-9084,春風ホーム１,3440048,埼玉県春日部市南中曽根６９８－２,×,○,○,○,2021/4/1,変更,1:介護サービス包括型,4
25,株式会社あおいの杜,1120600901,2,春風ホーム,3440048,埼玉県春日部市南中曽根６９８－２,080-66176245,048-884-9084,春風ホーム２,3440051,埼玉県春日部市内牧４１４２－３７４,×,○,○,○,2021/4/1,変更,1:介護サービス包括型,4
26,株式会社あおいの杜,1120600901,3,春風ホーム,3440048,埼玉県春日部市南中曽根６９８－２,080-66176245,048-884-9084,春風ホーム３,3440051,埼玉県春日部市内牧4142-23,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
27,株式会社あおいの杜,1120600901,4,春風ホーム,3440048,埼玉県春日部市南中曽根６９８－２,080-66176245,048-884-9084,春風ホーム４,3440014,埼玉県春日部市豊野町1-7-11,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
28,株式会社あおいの杜,1120600901,5,春風ホーム,3440048,埼玉県春日部市南中曽根６９８－２,080-66176245,048-884-9084,春風ホーム５,3440062,埼玉県春日部市粕壁東6-9-39,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
29,株式会社あおいの杜,1120600901,6,春風ホーム,3440048,埼玉県春日部市南中曽根６９８－２,080-66176245,048-884-9084,春風ホーム６,3440033,埼玉県春日部市備後西2-8-35,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
30,株式会社あおいの杜,1120600901,7,春風ホーム,3440048,埼玉県春日部市南中曽根６９８－２,080-66176245,048-884-9084,春風ホーム７,3440102,埼玉県春日部市西宝珠花343-2,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
31,特定非営利活動法人あい・あーる,1120601255,1,ルアナ,3440014,埼玉県春日部市豊野町一丁目３１－９,09091480051,048-734-0602,ルアナ,3440014,埼玉県春日部市豊野町一丁目３１－９,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
32,特定非営利活動法人あい・あーる,1120601255,2,ルアナ,3440014,埼玉県春日部市豊野町一丁目３１－９,09091480051,048-734-0602,ラウレア,3440067,埼玉県春日部市中央３－１９－１６,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
33,特定非営利活動法人あい・あーる,1120601255,3,ルアナ,3440014,埼玉県春日部市豊野町一丁目３１－９,09091480051,048-734-0602,ワレア,3440067,埼玉県春日部市中央３－６－２７,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
34,合同会社Ａｚアットモア,1120601263,1,＠メープル,3440022,埼玉県春日部市大畑９１６番地１５,048-812-4003,048-812-4004,＠メープル,3440022,埼玉県春日部市大畑９１６番地１５,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
35,合同会社Ａｚアットモア,1120601263,2,＠メープル,3440022,埼玉県春日部市大畑９１６番地１５,048-812-4003,048-812-4004,＠シナモン,3440022,埼玉県春日部市大畑９１６番地１７,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
36,合同会社Ａｚアットモア,1120601263,3,＠メープル,3440022,埼玉県春日部市大畑９１６番地１５,048-812-4003,048-812-4004,＠ショコラ,3440032,埼玉県春日部市備後東６－３－４５,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
37,合同会社Ａｚアットモア,1120601263,4,＠メープル,3440022,埼玉県春日部市大畑９１６番地１５,048-812-4003,048-812-4004,＠モンブラン,3440022,埼玉県春日部市大畑９１６－１８,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
39,一般社団法人正和会,1120601370,1,グループホームききょう,3440063,埼玉県春日部市緑町１丁目１５番地１９正和第一,048-738-0701,048-738-0701,グループホームききょう,3440063,埼玉県春日部市緑町１丁目１５番地１９正和第一,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
40,一般社団法人正和会,1120601370,2,グループホームききょう,3440063,埼玉県春日部市緑町１丁目１５番地１９正和第一,048-738-0701,048-738-0701,グループホームききょう第二,3440031,埼玉県春日部市一ノ割２丁目３番５２号,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,6
41,有限会社匠,1120601396,1,にじのいろホーム,3440021,埼玉県春日部市大場６１０番地９,048-628-0960,048-628-0960,にじのいろホーム武里,3440021,埼玉県春日部市大場６１０番地９,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
42,有限会社匠,1120601396,2,にじのいろホーム,3440021,埼玉県春日部市大場６１０番地９,048-628-0960,048-628-0960,にじのいろホームせんげん台,3430042,埼玉県越谷市千間台東三丁目６９１－３,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
43,フィールド・マーケティング・ジャパン株式会社,1120601412,1,笑顔の家,3440011,埼玉県春日部市藤塚字五屋1102-35,048-884-8085,048-884-8085,笑顔の家　藤塚,3440011,埼玉県春日部市藤塚字五屋1102番地35,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
44,フィールド・マーケティング・ジャパン株式会社,1120601412,2,笑顔の家,3440011,埼玉県春日部市藤塚字五屋1102-35,048-884-8085,048-884-8085,笑顔の家　新宿新田,3440113,埼玉県春日部市新宿新田字西宮３２１－８,×,○,○,×,2021/4/1,変更,1:介護サービス包括型,4
47,ソーシャルインクルー株式会社,1120601446,1,ソーシャルインクルーホーム春日部備後西,3440033,埼玉県春日部市備後西４丁目８２５－１、１２１０－３、１２１１－１,048-797-7540,048-797-7545,ソーシャルインクルーホーム春日部備後西Ⅰ,3440033,埼玉県春日部市備後西４丁目８２５－１、１２１０－３、１２１１－１,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
48,ソーシャルインクルー株式会社,1120601446,2,ソーシャルインクルーホーム春日部備後西,3440033,埼玉県春日部市備後西４丁目８２５－１、１２１０－３、１２１１－１,048-797-7540,048-797-7545,ソーシャルインクルーホーム春日部備後西Ⅱ,3440033,埼玉県春日部市備後西四丁目８２５－１、１２１０－３、１２１１－１,○,○,○,×,2021/4/1,変更,3:日中サービス支援型,10
